iter	Passed	Remaining
0	3	7504
1	7	7315
2	10	7282
3	14	7275
4	18	7271
5	21	7254
6	25	7239
7	29	7233
8	32	7221
9	36	7220
10	40	7317
11	45	7518
12	49	7500
13	52	7475
14	56	7453
15	59	7431
16	63	7421
17	67	7413
18	70	7402
19	74	7383
20	78	7370
21	81	7359
22	85	7349
23	89	7338
24	92	7330
25	96	7320
26	100	7310
27	103	7299
28	107	7305
29	111	7302
30	114	7291
31	118	7281
32	122	7273
33	125	7266
34	129	7261
35	132	7252
36	136	7242
37	140	7237
38	143	7229
39	147	7234
40	151	7227
41	154	7223
42	158	7222
43	162	7218
44	165	7210
45	169	7202
46	173	7198
47	176	7194
48	185	7370
49	188	7362
50	192	7358
51	197	7404
52	201	7403
53	205	7394
54	208	7381
55	212	7371
56	216	7363
57	219	7355
58	223	7349
59	227	7340
60	232	7388
61	236	7379
62	239	7369
63	243	7361
64	247	7353
65	250	7344
66	254	7335
67	257	7327
68	261	7318
69	265	7309
70	268	7301
71	272	7294
72	276	7292
73	279	7284
74	283	7284
75	287	7276
76	291	7269
77	294	7262
78	298	7255
79	302	7248
80	305	7241
81	309	7235
82	313	7230
83	316	7222
84	320	7216
85	323	7209
86	327	7203
87	331	7197
88	334	7191
89	338	7187
90	342	7181
91	345	7174
92	350	7187
93	355	7199
94	359	7209
95	363	7204
96	366	7197
97	370	7191
98	374	7185
99	377	7178
100	381	7172
101	385	7169
102	388	7163
103	392	7158
104	396	7151
105	399	7139
106	403	7134
107	406	7127
108	410	7120
109	414	7114
110	417	7108
111	421	7102
112	424	7095
113	428	7089
114	432	7082
115	435	7077
116	439	7072
117	443	7066
118	446	7060
119	450	7054
120	453	7049
121	457	7043
122	461	7037
123	464	7031
124	468	7021
125	471	7015
126	475	7011
127	479	7005
128	482	7004
129	486	6998
130	490	6993
131	493	6988
132	497	6982
133	501	6976
134	504	6971
135	508	6968
136	512	6963
137	515	6960
138	519	6955
139	523	6950
140	526	6944
