iter	GammaRMSEMetric
0	3.211939922
1	3.204232752
2	3.19583889
3	3.188102752
4	3.180522976
5	3.1727482
6	3.165273486
7	3.157722311
8	3.15028515
9	3.142521945
10	3.134593423
11	3.126859608
12	3.119422324
13	3.112252468
14	3.105304597
15	3.098140088
16	3.091059977
17	3.082896832
18	3.076074316
19	3.069161528
20	3.061870726
21	3.054288565
22	3.047867041
23	3.041131412
24	3.034223262
25	3.027006717
26	3.020223248
27	3.014086705
28	3.007503508
29	3.00149588
30	2.995346514
31	2.988754958
32	2.983061955
33	2.976759466
34	2.97159951
35	2.965442424
36	2.959490367
37	2.952054143
38	2.945583059
39	2.940465767
40	2.933638412
41	2.927047121
42	2.921863752
43	2.915412435
44	2.9094936
45	2.904431099
46	2.898686494
47	2.893268098
48	2.887878057
49	2.882721714
50	2.878522866
51	2.872988953
52	2.867456079
53	2.861555118
54	2.857220555
55	2.852085622
56	2.847417279
57	2.842440202
58	2.838676758
59	2.835349573
60	2.831215416
61	2.82635142
62	2.821689418
63	2.816674815
64	2.81186622
65	2.807517551
66	2.803766788
67	2.799555788
68	2.795735748
69	2.791759689
70	2.788207477
71	2.783720783
72	2.780931654
73	2.77698723
74	2.773530048
75	2.769305556
76	2.76504097
77	2.761013351
78	2.758458769
79	2.755669375
80	2.751970327
81	2.748992858
82	2.744831602
83	2.739541728
84	2.736104768
85	2.7342691
86	2.730396323
87	2.725895227
88	2.722444854
89	2.719271092
90	2.717477388
91	2.714340365
92	2.710781956
93	2.707639925
94	2.704405499
95	2.70170299
96	2.698095944
97	2.696370802
98	2.691857667
99	2.688619664
100	2.68516501
101	2.682051583
102	2.679414874
103	2.676454188
104	2.673504086
105	2.671012497
106	2.66794771
107	2.665980249
108	2.663174025
109	2.659498895
110	2.656461478
111	2.654617423
112	2.65143244
113	2.648614086
114	2.645274035
115	2.642721459
116	2.641272557
117	2.638922259
118	2.636465589
119	2.634175544
120	2.632137134
121	2.630251798
122	2.628182443
123	2.625185018
124	2.62415549
125	2.621614377
126	2.619071946
127	2.616799127
128	2.616256562
129	2.613297286
130	2.610946039
131	2.609385185
132	2.607439894
133	2.604097573
134	2.603117636
135	2.6000135
136	2.597446858
137	2.595110058
138	2.592800978
139	2.590671671
140	2.589960944
141	2.589263501
142	2.586277818
143	2.583222025
144	2.582038128
145	2.580216817
146	2.579306808
147	2.577471811
148	2.576180581
149	2.575699341
150	2.573727832
151	2.571819335
152	2.570927802
153	2.568375383
154	2.566106355
155	2.565632096
156	2.56462701
157	2.563320906
158	2.561479556
159	2.560312216
160	2.557655735
161	2.556244971
162	2.553011505
163	2.551835622
164	2.550861221
165	2.549274589
166	2.548545115
167	2.54661142
168	2.544442288
169	2.543608069
170	2.541537927
171	2.538716761
172	2.538340123
173	2.5379188
174	2.535170093
175	2.535018158
176	2.534951497
177	2.533315109
178	2.530763109
179	2.529057447
180	2.526059361
181	2.525894798
182	2.525614928
183	2.523565491
184	2.523450423
185	2.522085876
186	2.520969148
187	2.520788198
188	2.520027332
189	2.518549804
190	2.516431817
191	2.514840581
192	2.512454849
193	2.510664832
194	2.508012802
195	2.506680345
196	2.505983276
197	2.503485935
198	2.503457694
199	2.50117631
200	2.498963952
201	2.497237893
202	2.497203417
203	2.497116034
204	2.494958838
205	2.492880435
206	2.492119801
207	2.490396482
208	2.488789757
209	2.487250721
210	2.486762063
211	2.485852806
212	2.484452295
213	2.484280893
214	2.482317273
215	2.48041997
216	2.480489935
217	2.480396103
218	2.480427218
219	2.479377041
220	2.478003907
221	2.476362477
222	2.476403081
223	2.475939313
224	2.473905541
225	2.472039563
226	2.470763873
227	2.468909488
228	2.4673119
229	2.466000742
230	2.465427381
231	2.464559371
232	2.461819861
233	2.46175534
234	2.459958804
235	2.456955211
236	2.45513015
237	2.454983611
238	2.452882069
239	2.451035718
240	2.450988122
241	2.448728851
242	2.446886823
243	2.445064993
244	2.443121306
245	2.441627891
246	2.441573619
247	2.440015077
248	2.440101059
249	2.439990185
250	2.438410106
251	2.437268554
252	2.435128626
253	2.434794693
254	2.432930014
255	2.432958929
256	2.430105963
257	2.429854491
258	2.428055836
259	2.428087922
260	2.427686995
261	2.427779025
262	2.426464865
263	2.42480325
264	2.424854006
265	2.422963615
266	2.422753448
267	2.420908003
268	2.420908498
269	2.420758425
270	2.420710393
271	2.419387971
272	2.419447584
273	2.41530952
274	2.415218518
275	2.413481323
276	2.411717035
277	2.410052429
278	2.407915461
279	2.406736048
280	2.404890071
281	2.403171893
282	2.403020856
283	2.399991264
284	2.398252105
285	2.398358467
286	2.396755999
287	2.395570083
288	2.395476566
289	2.395414605
290	2.395389325
291	2.393779054
292	2.393675318
293	2.393811532
294	2.392687649
295	2.391000093
296	2.390823214
297	2.390764624
298	2.389141729
299	2.388210445
300	2.387260147
301	2.387094667
302	2.386574422
303	2.385669496
304	2.385589254
305	2.385509251
306	2.383199607
307	2.381089557
308	2.380931851
309	2.379553584
310	2.377788349
311	2.376719927
312	2.376724616
313	2.375207713
314	2.373459898
315	2.373450338
316	2.371164073
317	2.36919446
318	2.369342921
319	2.369292909
320	2.36937988
321	2.369378773
322	2.368923908
323	2.366767052
324	2.366864357
325	2.365283693
326	2.365266786
327	2.363899272
328	2.361627718
329	2.360059301
330	2.358532986
331	2.358470294
332	2.354491459
333	2.353082163
334	2.351045854
335	2.349119515
336	2.346172311
337	2.345759723
338	2.344818019
339	2.344968467
340	2.344951044
341	2.345018253
342	2.343890889
343	2.342358368
344	2.340542127
345	2.338953344
346	2.33857546
347	2.337899473
348	2.33797532
349	2.338075503
350	2.336712194
351	2.335969153
352	2.336027415
353	2.334367423
354	2.334331331
355	2.332980118
