name_x,team_x,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,position_x,conference,2026_wAV_Predictions
Jeremiyah Love,Notre Dame,5.206688391,-1.316092667,9.24286938,0.110676247,-1.015680697,-0.810775017,-0.915623013,1.204192309,-0.900043573,-0.007873801,-0.321423766,RB,Ind,2.722737655
Jordon Davison,Oregon,2.537440196,-2.270768628,6.466927144,1.030082,-0.686297738,1.247299234,-0.722922554,1.394040347,-1.41493717,0.169593517,-0.478700332,RB,B1G,2.720770542
Jordyn Tyson,Arizona State,1.663293068,6.797560056,1.260426287,-4.330437668,0.019984931,-0.499727394,0.573070038,0.093320989,-0.037866285,0.47693348,-0.404261747,WR,B12,2.713057043
Mario Craver,Texas A&M,0.941457058,5.394970901,2.168223012,-2.236408395,-0.524135938,0.442481903,1.350361126,-0.142226374,0.212040804,0.362901143,0.059320588,WR,SEC,2.639918673
J'mari Taylor,Virginia,6.103280746,-3.270816974,7.68809538,0.611864705,2.615799943,-2.45373037,0.78848603,0.509511786,-0.735955414,0.133847697,-1.751836256,RB,ACC,2.635834626
Cam Coleman,Auburn,0.094644632,4.649576624,0.797729363,-3.022963283,0.117922181,-0.408735843,0.680790856,-0.052064997,0.112777198,0.56281006,-0.134916643,WR,SEC,2.614152398
Jacob De Jesus,California,2.094889868,3.922158584,1.612177659,-3.66699927,4.487742722,2.255457032,1.496707275,-1.095800885,-0.265362852,0.623856177,-0.160785931,WR,ACC,2.608796429
Amare Thomas,Houston,0.976972613,6.121985732,1.631521408,-4.097600505,-0.033251157,-0.4201298,1.574152466,-0.429787866,0.411124367,-0.26624578,-0.158963434,WR,B12,2.588865198
Antonio Williams,Clemson,0.647342395,4.559273748,0.837076485,-3.268374092,-0.061199712,-0.334122485,0.618140741,-0.042943953,0.083499914,0.294859913,-0.166024822,WR,ACC,2.585244265
Ryan Williams,Alabama,1.435013467,5.10073809,2.518178423,-2.776263209,1.552832594,2.403448024,2.632264142,-0.892173643,0.151772278,0.470815243,-0.012962664,WR,SEC,2.582247009
Chris Bell,Louisville,0.435691503,5.389923536,0.765448351,-2.476784841,-0.161808465,-0.001343004,0.342749689,0.176044439,-0.105223507,0.730202072,-0.20263321,WR,ACC,2.57203902
Germie Bernard,Alabama,1.16329041,4.544982906,1.991503737,-1.998756493,-0.872676833,0.685250336,1.62158326,-0.273895048,0.315069741,-0.076937734,0.028171106,WR,SEC,2.570337588
Jai'Den Thomas,UNLV,3.59954705,-1.708334885,7.013431067,0.183743732,-0.942022601,-0.450600025,-0.692418552,0.924579649,-0.682737835,0.422450865,-0.320947273,RB,MWC,2.513852938
Mark Fletcher Jr.,Miami,3.852873986,-2.355171067,7.098868561,0.624910889,2.017004792,1.253858341,-0.926194564,0.584702035,-1.241722111,0.574953918,-0.245297552,RB,ACC,2.501846615
Javon Tracy,Minnesota,-0.152874126,4.722051249,0.653950007,-2.122000744,0.022465056,-0.226099416,0.404413091,0.030350569,0.017665231,0.515035136,-0.096630197,WR,B1G,2.456731057
Eric Singleton Jr.,Auburn,0.650733164,3.249003602,1.67243465,-2.627103091,-0.330038914,-0.005068838,1.565221613,-0.540807456,0.55142734,0.246190122,0.028400894,WR,SEC,2.449199135
Andrew Marsh,Michigan,1.410729498,4.487612082,2.575556585,-0.561324869,2.60300849,4.471662222,4.785867613,-1.97316985,0.73218767,-0.118131763,0.874384165,WR,B1G,2.444020393
Cameron Dickey,Texas Tech,3.179795866,-1.52718302,6.856985778,0.060004523,-0.476703371,-1.112844507,-0.622509317,0.516295737,-0.297338224,0.347655008,-0.114933141,RB,B12,2.415347906
Dezmen Roebuck,Washington,-0.163301774,3.779949612,1.372245929,-2.575385127,1.918439332,1.696285332,1.724298207,-0.477682008,-0.13478308,1.321766332,-0.150778444,WR,B1G,2.413658435
Jordan Hudson,SMU,-0.273646475,4.472138739,0.615119451,-2.483757891,-0.031520865,-0.060477162,0.488871825,0.111313138,-0.055234185,0.818232737,-0.194949372,WR,ACC,2.408035806
C.J. Daniels,Miami,0.032875392,5.297747616,0.556754025,-1.912667638,-0.169663281,0.019300522,0.316799902,0.098185915,-0.08627295,0.241181485,-0.178665714,WR,ACC,2.398408043
Teddy Hoffmann,NC State,2.139833677,1.297389188,-3.689106148,0.753610155,6.32433325,-2.987530113,6.951419567,4.676146545,-5.067131418,-2.173019743,-10.37019886,WR,ACC,2.39286227
Devonte Ross,Penn State,1.177012848,6.202643594,1.910136454,-2.814272408,2.094263568,1.543149786,1.730714373,-0.77501525,-0.040229302,-0.4576713,-0.05975339,WR,B1G,2.386331834
Jeremiah Koger,South Florida,-0.568784952,4.574990645,0.865128152,-3.119849316,0.081327916,0.021463315,0.713615851,0.338602265,-0.183331214,1.871579943,-0.321049705,WR,AAC,2.373074817
Bear Bachmeier,BYU,21.25662802,0.73841567,-0.093655185,1.278738014,5.169146699,5.212372862,-1.61236071,-0.163597106,-1.927260937,0.133853694,0.046510128,QB,B12,2.36940259
Isaac Brown,Louisville,4.500624726,-3.187536454,7.437729492,0.880943431,4.241964211,3.428487893,0.240107916,-0.161619019,-1.414563125,0.598815422,-0.308032224,RB,ACC,2.35964757
Malachi Hosley,Georgia Tech,1.832871606,-1.482890489,5.134499937,0.443703123,-0.868227681,0.01268055,-0.188496252,0.477538719,-0.357329862,0.349061579,-0.163012179,RB,ACC,2.338873959
Trent Walker,Oregon State,0.599988624,4.5134805,0.485826043,-2.657205473,-0.256303577,0.029408098,0.362390042,0.04686887,-0.002756097,0.565204588,-0.174818319,WR,PAC,2.334829056
Tanner Koziol,Houston,0.616847055,4.495731526,0.606705721,-3.712412342,-0.057643274,-0.351684692,0.867306309,-0.199733472,0.203229822,0.005437742,-0.172957947,TE,B12,2.318197786
Junior Vandeross,Toledo,0.875106355,5.937850674,1.090532384,-4.249150202,0.061793826,-0.45781242,0.973578229,-0.157039823,0.194513104,0.263560283,-0.178277232,WR,MAC,2.313227779
Beau Sparks,Texas State,1.466461105,5.844121462,2.427036722,-3.927072184,-0.488990147,0.27004031,1.988449236,-0.346504956,0.316447383,-0.138509519,-0.26206062,WR,SBC,2.312524802
Hank Beatty,Illinois,-0.218802323,3.901505555,0.283581907,-1.060767843,-0.275917666,0.202725221,-0.156843389,0.217181382,-0.213678778,0.150216136,-0.068944799,WR,B1G,2.307449662
Justice Haynes,Michigan,2.877911809,-2.99040316,5.199628744,1.366340631,-1.389313082,0.235917921,-0.133683682,0.439290275,-0.306222286,0.187214886,-0.220980356,RB,B1G,2.304520988
Antwan Raymond,Rutgers,4.352740043,-1.953141796,8.135810098,0.813403305,-0.260640271,-1.977903248,-1.437676482,0.659465818,-0.339598844,0.330563339,-0.010756379,RB,B1G,2.303284947
Tucker Gleason,Toledo,11.8940124,0.265288752,-2.718401032,0.737830239,-2.304184115,-0.175022133,0.027330542,0.321203867,0.050785858,0.044672613,-0.166727854,QB,MAC,2.294587657
CJ Bailey,NC State,21.53033797,1.600924875,-3.495165386,0.723622693,3.897739465,4.466787085,-1.011723487,-1.22514083,-0.686292617,-0.95040289,0.787502859,QB,ACC,2.293643106
Kevin Coleman Jr.,Missouri,0.433038215,3.924204952,1.4212307,-2.817629712,-0.076923133,-0.228994992,1.192666378,-0.508091509,0.446284478,-0.119450211,-0.02652821,WR,SEC,2.279730862
Parker Navarro,Ohio,12.77879547,-0.535414287,1.494060345,1.44938492,-2.810427759,0.152010091,0.009059098,1.790757018,-1.181278648,-0.114414887,-0.325188776,QB,MAC,2.274584623
Josh Cameron,Baylor,0.157517045,5.238348632,0.732560284,-2.762849322,-0.072207252,-0.165001097,0.598131583,0.013102948,-0.010438928,-0.066219988,-0.169083197,WR,B12,2.273762418
Dashun Reeder,Northwestern,-0.000778827,-2.794550893,2.442366536,0.998066012,2.823076355,4.823735833,1.084146591,9.001551046,10.85209573,-0.839390981,-0.453958706,RB,B1G,2.27131222
Parker Livingstone,Texas,-0.230206281,3.760466938,-0.40703786,-1.793608274,1.063100668,-2.025148141,2.116245328,0.74929875,-0.578030455,-0.738222093,-1.99544349,WR,SEC,2.261951922
CJ Donaldson,Ohio State,3.12340898,-1.958561945,5.555621649,0.77974284,1.168324282,1.009787879,-0.870964069,0.553904145,-1.034572378,-0.164008458,-0.147041599,RB,B1G,2.254825449
Darius Taylor,Minnesota,5.011364762,-2.34482286,6.763501258,-0.139189236,0.211973731,-3.129791221,-0.202925873,-0.882023556,1.15300034,0.788661452,0.293383885,RB,B1G,2.248878591
Bryant Wesco Jr.,Clemson,-0.147533921,4.980867769,0.856514788,-2.340415085,0.12595373,-0.267087939,0.327479473,0.123293606,-0.003587655,1.232010602,-0.082223234,WR,ACC,2.246132374
Mason Heintschel,Pittsburgh,16.62240064,-1.617974863,-3.858691761,2.016298923,8.285066237,2.729668806,0.519472119,-3.08769821,0.561600639,-0.06352326,1.203979601,QB,ACC,2.245742001
DeJuan Williams,Maryland,2.097440544,-1.993983812,4.548086793,-1.407995636,3.110742666,-1.7085269,0.522557748,-1.584489239,1.054059757,1.431459619,0.366644641,RB,B1G,2.239011987
Khobie Martin,Indiana,0.465388589,-2.547627135,2.581607756,0.622412236,-1.344437871,1.143438684,-0.01158788,0.510738658,-0.46497226,0.483481163,-0.256703134,RB,B1G,2.234609422
Mike Matthews,Tennessee,-0.692785073,3.681906693,0.460020925,-2.073948839,-0.003503723,-0.015484651,0.188324505,0.174077689,-0.164259503,0.265905675,-0.089738708,WR,SEC,2.21623834
Emmett Johnson,Nebraska,5.452762601,-1.607885118,7.631379076,-0.377364358,2.474734133,-0.681401419,-0.226570064,-0.504523628,-0.04557379,0.401904438,0.087441387,RB,B1G,2.216082665
