,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,0.024307117960571643,4.8816313975005965,0.617647833967118,-2.903412348503857,0.11388687406970349,-0.4030738994182002,0.6225336114076886,-0.0050313056480883805,-0.28998011908853866,-0.4928440233387129
1,16.47424296746847,1.2437019812494419,-5.844528067912337,-0.06181202639267608,5.695384976930211,3.122937367473708,-1.4712881406614826,6.195207927039648,-1.012291001344921,-0.06716236678679147
2,-1.074047838600739,-2.7061706242388217,0.49438086997679076,0.04763255067512335,-0.790479853004785,0.6895214245845904,0.027637652066075286,-0.085410726955669,-0.20365543893002505,-0.5717895894830373
3,-1.7869253489404442,-1.9800773969918148,0.031797559428095104,0.053916764332911295,-0.7668094823261904,1.1897238270321229,0.5274821259030446,-0.08629182380648577,-0.3661499327806927,-0.23086547473754737
4,-1.0232400096859042,-1.6045990832029422,-0.3965135552300398,-0.07148338649164028,-1.1561545757138065,1.576557480380563,0.34569499861151304,-0.08797164244916232,-0.102278270155875,-0.22142376228618618
5,-1.2355783063492751,1.991927211830707,-0.19763590851567206,-0.30679360551554086,-0.14839674667373123,0.2922392822473879,-0.47713669306695977,0.057872165323083584,0.3121318962131789,1.9693179378805594
6,-1.512658720928483,1.9932976072855768,0.5895710739174376,1.0342249877480378,-0.7227235243310229,1.1274169135358523,1.0894944312005814,-0.008263149104373172,-0.6470815702295543,-0.2127435433178198
7,-1.5816274558655616,-2.4289399210067866,-1.154171672905684,-1.0676014266376586,-0.26877406943825227,0.26422079710841584,-0.47168407224526004,0.01826082829037639,-0.06597455907621151,1.6868821683555821
8,-2.2194682226310687,-1.4376293644038969,-0.9306881875589984,-0.8529512685134173,-0.18366702967275259,0.42644095993706005,-0.5861305950114741,-0.01857725665330519,0.12730047987198606,1.4427091323112364
9,-2.617032853396713,2.111028089569503,-0.6167549934353589,2.7378257242037707,-0.20910341513366384,0.4680974959097895,-0.7119947479354622,-0.010927258433711508,0.4567808034065888,1.3741874835745427
10,2.3958402199410265,8.0892731977797,1.4189928795249744,-5.346933536944023,-0.3458949542819541,0.06033183536101028,1.131364481695167,0.06923851366418152,0.1633315144377253,-0.10019274927034252
11,-2.1622155216703254,2.5040423483023266,-0.599609027281764,2.2360435820303985,-0.15049424706361317,0.14175814539335946,-0.33677833005660995,-0.057583421786712954,0.1922314546939401,-0.13073658701213298
12,17.625803541318575,0.19610955334672828,-4.333193997444363,0.8415613318715175,-2.2512488137260123,-2.113749036991494,-0.6272093933825906,0.413519736489295,-2.2405688926322846,0.03944668452186731
13,-1.5825813475315262,-3.485535539003118,0.6136789598132303,0.08291293483035438,-2.1032617393847453,3.3993896767276146,2.763883787756401,-0.020012363048532107,-1.2293358780059995,-0.5064637989511647
14,-1.3815491604041088,-0.7935722069366529,-2.4004777929353582,1.8567967373714593,0.11039580755865601,-0.3918644136689103,1.943864627110912,0.07292260509397201,4.1751473771357315,-0.5144666965924445
15,20.611116710531935,4.2314141979177124,-4.387679576260095,-1.2113117139222256,-5.083120882615254,2.8493939789758937,-4.052170426203355,0.06919863176761543,1.9422741554226173,-0.12011278108938121
16,15.850279616056955,-4.561057767481432,-0.40380923586394457,2.747430584895548,-0.9585485442486716,-4.43240464031759,1.1384170982027864,0.6127387603777549,-2.7478213033314596,1.39840608122158
17,-2.8550492510602323,3.152536160320844,-0.1757902181122768,2.7713279224706384,0.18955276818897862,0.07336686391741265,-0.8548537597486038,0.05167739320712092,0.34247826206808424,2.3247669238832342
18,-1.453030358817396,-0.8953066312045638,-0.24519596279182035,-1.4683388598034506,0.2913280189168426,-0.6281614053438028,0.39303058243770894,-0.011579143518615593,-0.755368342738441,0.16531900691112383
19,-1.7534999272899718,0.8960867141143681,-0.46852746276667767,-0.5607643902955651,-0.07141919980510023,0.07040095051872086,-0.197509517141063,-0.038272035510213506,-0.03631400543619497,0.35826848976363923
20,13.814742519892576,-1.925240005827536,0.24484252678095253,2.443938707150247,-1.7096771447174774,-2.42998037460302,1.8819957663290512,0.6242398830905299,-1.0760094557538127,0.9237367722523482
21,-2.315665691765297,-0.35924625006225,-0.9331111723393873,0.26246109350748037,-0.1236896838571784,0.21019094311204617,-0.5669097417112459,-0.0819925185449952,0.06953798960989672,0.09748649085823387
22,-0.15512650348451404,4.91210284845374,0.13409361548092708,-0.6215809925576864,0.22052475234263536,-0.7661002640011542,-0.08768429053940735,-0.04790674524798668,-0.6046896908774873,-1.3387511356731066
23,0.7351327209718436,5.813806763242051,1.324381051535849,-5.054521767120873,0.06763340144565412,-0.21552845047555477,1.326359891870431,0.09196424393531936,0.10858484840834877,0.687741845396974
