PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.22436557026108842,-0.00995080405322723,-0.08722010129720638,0.017810858920735,0.039434031674284206,-0.1414126079406119,0.10402672215574914,0.02231421250225254,-0.11053801764318381,0.07855630378403328
0.22267104362184653,-0.06181793472971066,0.07401816653460294,0.021864086844945847,0.03853628616909249,-0.16997175719971117,0.058151507656352505,0.02061093649454149,-0.12066393889100153,0.09496035188557422
0.22237505157572918,-0.01360647049222382,-0.08771912893662236,0.023813101635523116,0.03378098180673186,-0.1456997934454003,0.10533246495813542,0.024796608451341993,-0.1023938530284327,0.08020138551904019
0.22663127176760717,-0.045341486123214314,0.01899940921287976,0.02254060640030017,0.03678281820427626,-0.16335215632502523,0.07056372651472538,0.020939466018469466,-0.12714616931676223,0.0895520696103405
0.2213418469598721,-0.05788774082414219,0.07607240126810483,0.014157812771952017,0.040233057647249666,-0.16989303696878413,0.0580848175397448,0.018569597384866687,-0.12514288592989245,0.09360592497092544
0.1171549659460976,-0.15780944250737303,0.3050514013658187,0.060293640282128816,0.026404591504014318,-0.1474929866392932,-0.010810636768878296,0.00822418619383262,-0.05704407656811565,0.023616129939750423
0.21163819538459272,0.03698178029309968,-0.15313396226137857,-0.0011352893177348801,0.044220580709431065,-0.11339744144176768,0.11284631004559903,0.022610118987410596,-0.09284599710874057,0.09838467248519935
0.22960891017572385,-0.04414268388968159,0.013115685207597092,0.020830799036246413,0.04077993509546411,-0.16583756059997454,0.07965544936755656,0.022375152214673465,-0.12251376801235161,0.09325479210247664
-0.017963364106940917,0.24733848467165945,0.019843024677926833,0.2265872745599057,0.05145186537246071,-0.12757531253431617,0.0426122062244774,-0.02085922725441129,-0.06819207652944712,-0.46857569244565683
-0.030210699478359665,0.23600615684511758,0.03214782359562406,0.29308668816973216,-0.040180858186895714,0.09582776444689257,0.0008876753492477544,0.018934348206531608,0.03248983981891185,0.4099936589709045
-0.013908451217457238,0.2266912994628919,0.0498309581287525,0.21285756869550096,0.04148136217246881,-0.11611874611767124,0.03710595155189068,-0.015589383034707728,-0.09211857210222954,-0.37653659731603967
-0.023719977490113776,0.23256210322660562,0.01738773426899982,0.23619442190491252,0.014260780426268731,-0.02762909487464398,-0.004693515016995248,-0.0017800573599017681,-0.032407885715629976,-0.16540974725682162
-0.030050215929459997,0.22954595198866456,0.030252164806665618,0.23880037840037763,-0.041275604217341354,0.10892390824783214,-0.013772853118443134,0.028223469390365064,0.053667205351322765,0.5129667259158369
0.04276534521815441,0.025917393863426917,0.08699692168143004,0.20489166784757948,-0.23675937265544028,0.36628178081546564,0.43845215956354516,0.03556213747542466,-0.22213948453287669,0.012354380572421997
-0.02017274683293594,0.26604240598180784,0.03157140579350094,0.26469295775213036,0.10697400156254253,-0.18328523430729673,-0.08852146171608853,-3.2698054231474655e-05,0.08503167568694785,-0.0027744669912406457
-0.03110417438394354,0.26782153176001416,0.01947206325213003,0.33140282355622724,0.0010044908294268796,-0.0076873504685492046,0.030820438202739813,0.003985842549330619,-0.00884021057305575,-0.0018051834912980712
0.20538075010008627,0.14039961957929892,-0.04009990994535104,-0.09424581902770165,-0.0630663061249648,0.04061182116058237,-0.04840095673766598,-0.009427798891034598,-0.0506890890995758,-0.14311949733454882
0.1796660409350107,0.1545990822437887,0.09876706618124438,-0.10016232561359287,-0.12226754662117677,0.18448042868414335,-0.13930025814388103,-0.006117882883448195,0.19544990402823162,0.01588143152809344
0.2146807077005992,0.10528729717665239,-0.011324768570572673,-0.06771363814871541,-0.05537278956761143,0.00483692064742901,-0.05392650524409239,-0.0029994634644225793,-0.051346970320340406,-0.10297748689409912
0.18770814647918344,0.14781838285236673,0.02358150896839315,-0.09686297738455547,-0.09049505871864959,0.11359844309442803,-0.10560360609283864,-0.01081126311301359,0.05933914591965752,-0.1290790579484208
0.13301650073807805,0.188901106171827,0.06607514902354426,-0.13985407960895077,-0.1405432843317204,0.2462564624790189,-0.11948732620493638,-0.011392822708093333,0.23700296967583726,0.0767683049441006
0.15164483016417357,-0.036311071333138475,0.25361227460751196,0.09398818886328442,-0.07983119735625482,0.08409810007809009,-0.13226318747187935,-0.0017364444604888066,0.22074958796533445,-0.04623690502500452
0.18050210623728666,0.19130847571947557,-0.06136157258977558,-0.1511979025014914,-0.08067880945865263,0.10120856498355127,-0.062466938313926676,-0.009188221410954085,-0.0009724213980143106,-0.06595267944814728
0.2043966068133232,0.15556867522774703,0.02681640147326294,-0.10262611604299639,-0.0962131016208928,0.11467255178469794,-0.09650460300096604,-0.008320970948128337,0.06909365671348196,-0.07210257313713726
0.11432174665342983,-0.02558685319461122,0.009777140759998283,0.03226962766838755,0.591149994271755,0.3224414858576592,0.0047709978371379205,-0.11507998179546686,-0.02088161442384719,-0.012515590567366864
0.10131930971175859,-0.02769619009193423,0.021814269546495502,0.02873669516898807,0.6089356090842207,0.32996637047532645,-0.007144650033852388,-0.14592737166855974,-0.017469840702016595,-0.015956889652179056
0.0037875416142971337,-0.008480086752162476,0.0002656122638644591,-0.005852649477504506,0.15014776195250787,0.1114179693517566,-0.060264939642393774,0.9777797753143206,-0.004877217647497088,-0.06419555780416324
0.216651778168542,0.004932537541454092,-0.1704201372156931,0.050433016473552326,-0.04097259730499723,0.029641958508657695,-0.08300411765526695,-0.004718950407786143,-0.09638008823189519,0.008509126898200273
0.21620668461711606,0.00973884244643929,-0.16845616678372044,0.04679666499420979,-0.049876258495511215,0.0475255036681797,-0.10018558797558753,-0.007241136331056744,-0.08585448619937444,-0.0009539026318951841
0.20495680797218518,-0.01263784261704838,-0.17192531634720026,0.06041361402564431,-0.00405555245113251,-0.03331148953472186,-0.011646569103801336,0.004769246125030909,-0.12026826785369041,0.04282198178109156
0.15139411136182887,-0.04763667164882437,-0.17371647171370225,0.08615145190352842,0.05600049538641575,-0.12040758314782231,0.32874047748775864,0.027605106126536706,0.4481066179447656,-0.013081505481405423
0.21242537370116862,0.021972723881555134,-0.15590743678971203,0.036923947216677314,-0.08031949357879382,0.10506515715169552,-0.1442657277480587,-0.012007290864560727,-0.026927393415085054,-0.03589429787421339
0.2172123681771504,0.014187179262771958,-0.1641010297561122,0.04404597450423205,-0.06020613512985064,0.06846521626550185,-0.1167502999712659,-0.009163383184610555,-0.061627170918629764,-0.013066122673469746
0.12911831079185188,-0.022823000603252486,-0.14006823439094163,0.08744807031053788,0.06735508269212688,-0.10939618454063636,0.35479374674776915,0.023243313439056282,0.5943320645371721,-0.05802600157840929
-0.03486985253052367,0.26208888523940305,0.1544379409119846,-0.17792133046225547,0.12134503946433325,-0.13642734052657018,0.05835043388712182,0.01177103814176091,-0.0733484569849233,0.09873068157852921
