iter	GammaRMSEMetric
0	3.796017461
1	3.782335018
2	3.768622207
3	3.754729977
4	3.740639992
5	3.726522855
6	3.712310677
7	3.698212213
8	3.683945425
9	3.669751912
10	3.655538172
11	3.641110379
12	3.626927803
13	3.612492213
14	3.598178518
15	3.583677446
16	3.569129918
17	3.554815495
18	3.540334431
19	3.526091942
20	3.51183143
21	3.497751524
22	3.483138094
23	3.469039866
24	3.45507859
25	3.441027878
26	3.427256783
27	3.413709085
28	3.399959531
29	3.38636424
30	3.37282841
31	3.359447497
32	3.345728937
33	3.332441011
34	3.319431242
35	3.306208008
36	3.293369367
37	3.280973556
38	3.268476761
39	3.256352636
40	3.244107892
41	3.231836458
42	3.219457495
43	3.207311736
44	3.195444815
45	3.182956288
46	3.171258574
47	3.160425364
48	3.149952394
49	3.138232944
50	3.126898792
51	3.116977176
52	3.106188415
53	3.095968055
54	3.085420603
55	3.07603397
56	3.066647939
57	3.057424338
58	3.048375099
59	3.038433953
60	3.029231467
61	3.020660471
62	3.012656821
63	3.003630239
64	2.995558998
65	2.988208188
66	2.980157859
67	2.972289073
68	2.964929367
69	2.957805495
70	2.950191013
71	2.943357893
72	2.937294227
73	2.928758148
74	2.921703385
75	2.915322084
76	2.908147438
77	2.902024795
78	2.894093398
79	2.888202189
80	2.882887761
81	2.876944767
82	2.870752419
83	2.865930434
84	2.860672204
85	2.854594004
86	2.850407619
87	2.845476785
88	2.83988938
89	2.833327732
90	2.828688277
91	2.822719312
92	2.817681464
93	2.813501747
94	2.806948972
95	2.801495097
96	2.797506455
97	2.792213032
98	2.786950257
99	2.782558006
100	2.778924107
101	2.773238637
102	2.76871213
103	2.763565712
104	2.75962569
105	2.756144467
106	2.752552982
107	2.749061084
108	2.745315042
109	2.741304585
110	2.737967988
111	2.733114177
112	2.730431946
113	2.726071383
114	2.721948419
115	2.718653459
116	2.716022124
117	2.712980435
118	2.708615627
119	2.703952804
120	2.701063935
121	2.697446116
122	2.692553544
123	2.690368792
124	2.687715292
125	2.684320558
126	2.680739358
127	2.676266265
128	2.673754772
129	2.668985504
130	2.666702726
131	2.66294266
132	2.66021822
133	2.658089383
134	2.654902724
135	2.651529359
136	2.647818723
137	2.645411769
138	2.641813748
139	2.63920521
140	2.635897924
141	2.631115657
142	2.629001525
143	2.626105605
144	2.622188425
145	2.618773514
146	2.614725419
147	2.611925964
148	2.608065352
149	2.604938902
150	2.60194472
151	2.599137313
152	2.597219376
153	2.593712559
154	2.590761244
155	2.587573223
156	2.585261468
157	2.581280554
158	2.580711225
159	2.578785663
160	2.576580024
161	2.57285981
162	2.572157728
163	2.569410035
164	2.566005049
165	2.562844771
166	2.559336543
167	2.555874065
168	2.552587608
169	2.551082122
170	2.549137341
171	2.546360516
172	2.544948949
173	2.541253488
174	2.538924665
175	2.535559024
176	2.532791767
177	2.530405413
178	2.527448029
179	2.524553481
180	2.523344919
181	2.5212876
182	2.518706915
183	2.516381015
184	2.514702222
185	2.512324887
186	2.510400619
187	2.509100521
188	2.507448246
189	2.504832989
190	2.50289348
191	2.500169448
192	2.498892185
193	2.496780392
194	2.493341539
195	2.491362234
196	2.489047318
197	2.487380961
198	2.486000765
199	2.482619102
200	2.481040567
201	2.479098188
202	2.476383425
203	2.474246628
204	2.472011613
205	2.469783308
206	2.467580083
207	2.465116012
208	2.463842572
209	2.462987008
210	2.460286455
211	2.458928238
212	2.456082203
213	2.453194298
214	2.450689823
215	2.447465917
216	2.446534368
217	2.444589048
218	2.441824492
219	2.439323573
220	2.438807162
221	2.436257795
222	2.433118473
223	2.431476246
224	2.42927522
225	2.427374137
226	2.424676332
227	2.422360298
228	2.4199063
229	2.418094119
230	2.414676485
231	2.413260558
232	2.411759223
233	2.410868662
234	2.4091432
235	2.407256862
236	2.404489105
237	2.401781628
238	2.398987395
239	2.39805934
240	2.395637088
241	2.393081988
242	2.391228822
243	2.390631607
244	2.388397337
245	2.387552098
246	2.385711265
247	2.383161706
248	2.381926883
249	2.379803531
250	2.377547617
251	2.374162019
252	2.373479661
253	2.371897725
254	2.369660725
255	2.367758402
256	2.367667902
257	2.365884028
258	2.36341113
259	2.360248341
260	2.358543292
261	2.356466125
262	2.354045493
263	2.35223974
264	2.351409675
265	2.35005176
266	2.348402717
267	2.347551533
268	2.344722433
269	2.342516242
270	2.339636017
271	2.339113218
272	2.336525639
273	2.335649289
274	2.333456948
275	2.331038404
276	2.328865048
277	2.328531714
278	2.327850529
279	2.325634828
280	2.322950733
281	2.321241789
282	2.31955008
283	2.317930327
284	2.316152212
285	2.315424344
286	2.314339645
287	2.31373888
288	2.313063956
289	2.311757023
290	2.309346929
291	2.30741581
292	2.306585303
293	2.306235882
294	2.305533138
295	2.305200418
296	2.304364959
297	2.302966254
298	2.302624861
299	2.300497365
300	2.299913784
301	2.298228859
302	2.297649359
303	2.296964567
304	2.295672425
305	2.295088727
306	2.294723654
307	2.292817505
308	2.290549501
309	2.289185748
310	2.289081928
311	2.287967947
312	2.287111867
313	2.286139698
314	2.285114037
315	2.284384204
316	2.284002534
317	2.284006857
318	2.283508152
319	2.282799351
320	2.28026752
321	2.279724804
322	2.27900878
323	2.278287896
324	2.278197535
325	2.278040409
326	2.277082917
327	2.275013971
328	2.273106251
329	2.271778671
330	2.271301117
331	2.270121443
332	2.267452279
333	2.266879914
334	2.26472961
335	2.263139931
