iter	Passed	Remaining
0	2	4670
1	3	3659
2	4	3305
3	6	3129
4	7	3027
5	8	2946
6	10	2919
7	11	2885
8	12	2856
9	14	2832
10	15	2810
11	16	2795
12	18	2777
13	19	2772
14	20	2755
15	23	2966
16	26	3043
17	28	3132
18	29	3109
19	31	3085
20	32	3059
21	33	3037
22	35	3015
23	36	2994
24	37	2976
25	39	2961
26	40	2946
27	41	2931
28	42	2916
29	44	2905
30	45	2894
31	46	2884
32	48	2873
33	49	2864
34	50	2854
35	52	2844
36	53	2836
37	54	2827
38	56	2820
39	57	2812
40	58	2804
41	60	2797
42	61	2791
43	62	2785
44	63	2779
45	65	2776
46	66	2769
47	67	2762
48	69	2757
49	70	2752
50	71	2747
51	73	2742
52	74	2737
53	75	2732
54	77	2726
55	78	2741
56	80	2751
57	82	2746
58	83	2741
59	84	2735
60	85	2729
61	87	2728
62	88	2723
63	89	2720
64	91	2730
65	94	2767
66	95	2760
67	97	2766
68	98	2760
69	99	2756
70	101	2750
71	102	2746
72	103	2741
73	105	2736
74	106	2731
75	107	2727
76	109	2723
77	112	2767
78	113	2754
79	115	2768
80	117	2779
81	119	2803
82	121	2814
83	123	2815
84	124	2810
85	126	2805
86	127	2800
87	128	2795
88	129	2790
89	131	2786
90	132	2781
91	133	2777
92	135	2772
93	136	2768
94	137	2763
95	139	2759
96	140	2756
97	142	2768
98	144	2773
99	145	2769
100	147	2765
101	148	2761
102	149	2757
103	150	2752
104	152	2751
105	153	2747
106	155	2743
107	156	2739
108	157	2736
109	159	2732
110	160	2728
111	161	2724
112	162	2720
113	164	2717
114	165	2713
115	166	2711
116	168	2707
117	169	2703
118	170	2701
119	172	2697
120	173	2694
121	174	2690
122	176	2687
123	177	2684
124	178	2681
125	180	2677
126	181	2674
127	182	2671
128	183	2668
129	185	2664
130	186	2661
131	187	2658
132	189	2656
133	190	2653
134	191	2650
135	193	2648
136	194	2644
137	195	2641
138	197	2639
139	198	2636
140	199	2633
141	201	2630
142	202	2628
143	203	2625
144	204	2622
145	206	2618
146	207	2615
147	208	2612
148	210	2609
149	211	2606
150	212	2604
151	213	2601
152	215	2599
153	216	2596
154	217	2594
155	219	2591
156	220	2589
157	221	2586
158	223	2583
159	224	2580
160	225	2578
161	227	2575
162	228	2573
163	229	2571
164	230	2568
165	232	2566
166	233	2563
167	234	2561
168	236	2558
169	237	2556
170	238	2554
171	240	2551
172	241	2549
173	242	2547
174	244	2545
175	245	2543
176	246	2541
177	248	2538
178	249	2536
179	250	2534
180	251	2532
181	253	2529
182	254	2527
183	255	2525
184	257	2522
185	261	2548
186	262	2546
187	263	2543
188	265	2541
189	266	2539
190	267	2537
191	269	2534
192	270	2531
193	271	2528
194	272	2526
195	274	2524
196	275	2521
197	276	2518
198	278	2516
199	279	2514
200	280	2512
201	281	2509
202	283	2507
203	284	2504
204	285	2501
205	287	2504
206	289	2504
207	291	2515
208	294	2523
209	297	2531
210	299	2540
211	302	2549
212	304	2556
213	307	2565
214	309	2572
215	312	2579
216	315	2588
217	316	2588
218	319	2595
219	320	2595
220	323	2601
221	325	2610
222	327	2611
223	329	2612
224	330	2610
225	333	2618
226	336	2629
227	338	2627
228	339	2624
229	341	2631
230	344	2635
231	345	2635
232	347	2636
233	349	2639
234	352	2650
235	355	2657
236	358	2663
237	360	2671
238	362	2668
239	363	2665
240	365	2669
241	368	2678
242	371	2685
243	374	2693
244	375	2692
245	378	2695
246	380	2699
247	383	2706
248	384	2703
249	385	2700
250	387	2697
251	389	2703
252	392	2710
253	393	2707
254	396	2710
255	399	2718
256	400	2718
257	402	2715
258	403	2713
259	405	2716
260	408	2722
261	409	2719
262	411	2716
263	412	2712
264	413	2709
265	415	2705
266	416	2702
267	417	2699
268	418	2695
269	420	2692
270	421	2689
271	422	2685
272	424	2683
273	425	2679
274	426	2676
275	428	2673
276	430	2676
277	432	2680
278	433	2677
279	435	2674
280	436	2671
281	438	2668
282	439	2665
283	440	2662
284	441	2659
285	443	2656
286	444	2653
287	445	2650
288	447	2647
289	448	2644
290	449	2640
291	450	2637
292	452	2634
293	453	2631
294	454	2629
295	456	2627
296	457	2624
297	458	2621
298	460	2618
299	461	2615
300	462	2612
301	464	2609
302	465	2607
303	470	2623
304	471	2621
305	473	2619
306	474	2616
307	475	2613
308	476	2609
309	478	2606
310	479	2603
311	480	2600
312	481	2597
313	483	2594
314	484	2592
315	485	2589
316	488	2594
317	491	2599
318	494	2605
319	496	2605
320	497	2603
321	499	2600
322	500	2597
323	501	2595
324	502	2592
325	504	2591
326	507	2594
327	511	2609
328	513	2606
329	514	2603
330	515	2599
331	516	2597
332	518	2594
333	519	2591
334	520	2588
335	522	2585
336	523	2582
337	524	2579
338	525	2576
339	527	2573
340	528	2570
341	531	2575
342	533	2577
343	535	2576
344	536	2573
345	537	2570
346	539	2568
347	540	2565
348	541	2562
349	543	2560
350	544	2557
351	545	2555
352	547	2552
353	548	2549
354	549	2547
355	552	2550
356	554	2553
357	556	2551
358	557	2548
359	558	2545
360	560	2542
361	561	2539
362	562	2536
363	563	2534
364	565	2531
365	567	2535
366	573	2550
367	575	2553
368	580	2563
369	582	2566
370	584	2568
371	588	2577
372	591	2580
373	595	2586
374	597	2588
375	599	2590
376	601	2589
377	604	2595
378	607	2597
379	610	2602
