iter	Passed	Remaining
0	310	619800
1	312	312572
2	314	209221
3	315	157536
4	317	126515
5	320	106634
6	323	91996
7	324	80798
8	325	72095
9	327	65254
10	329	59629
11	331	54902
12	332	50854
13	334	47390
14	337	44685
15	339	42123
16	341	39861
17	344	37948
18	351	36654
19	356	35323
20	358	33798
21	359	32366
22	361	31056
23	362	29856
24	363	28750
25	365	27730
26	366	26786
27	367	25908
28	369	25092
29	370	24330
30	371	23615
31	373	22947
32	374	22318
33	375	21727
34	377	21168
35	381	20796
36	385	20435
37	387	19981
38	388	19526
39	389	19094
40	390	18681
41	392	18288
42	393	17914
43	394	17556
44	396	17214
45	397	16890
46	398	16576
47	400	16276
48	401	15993
49	405	15828
50	408	15604
51	410	15391
52	411	15128
53	414	14926
54	416	14734
55	420	14605
56	422	14416
57	425	14244
58	427	14077
59	430	13915
60	432	13760
61	435	13608
62	437	13464
63	439	13304
64	442	13162
65	443	12995
66	444	12833
67	446	12674
68	447	12521
69	448	12372
70	450	12226
71	451	12085
72	452	11947
73	453	11813
74	455	11683
75	456	11556
76	457	11432
77	459	11312
78	460	11195
79	461	11085
80	463	10973
81	464	10864
82	465	10758
83	467	10654
84	468	10552
85	469	10453
86	470	10355
87	472	10260
88	473	10167
89	474	10076
90	476	9987
91	477	9900
92	478	9815
93	479	9732
94	481	9650
95	482	9570
96	483	9491
97	485	9415
98	486	9340
99	487	9268
100	489	9196
101	490	9125
102	491	9056
103	492	8987
104	496	8951
105	497	8895
106	499	8839
107	501	8782
108	502	8720
109	503	8658
110	505	8598
111	506	8538
112	507	8480
113	509	8423
114	510	8368
115	512	8330
116	515	8296
117	518	8266
118	519	8214
119	521	8162
120	522	8111
121	523	8060
122	524	8010
123	526	7960
124	527	7912
125	528	7865
126	530	7818
127	531	7772
128	533	7733
129	535	7701
130	537	7670
131	539	7628
132	540	7585
133	541	7542
134	542	7500
135	544	7459
136	545	7418
137	546	7378
138	548	7338
139	549	7299
140	550	7260
141	552	7222
142	553	7184
143	554	7148
144	555	7111
145	557	7077
146	560	7060
147	564	7060
148	565	7025
149	566	6990
150	567	6952
151	569	6918
152	570	6884
153	571	6851
154	572	6818
155	574	6786
156	575	6755
157	576	6724
158	578	6693
159	579	6662
160	580	6632
161	581	6602
162	583	6572
163	584	6543
164	585	6514
165	587	6486
166	588	6458
167	589	6430
168	590	6402
169	592	6375
170	593	6348
171	594	6321
172	596	6294
173	597	6268
174	598	6243
175	599	6217
176	601	6192
177	602	6167
178	603	6142
179	605	6117
180	606	6093
181	607	6069
182	609	6047
183	611	6031
184	612	6008
185	613	5985
186	615	5962
187	616	5940
188	617	5920
189	619	5898
190	620	5876
191	621	5855
192	623	5833
193	624	5812
194	625	5790
195	626	5770
196	628	5749
197	629	5729
198	631	5710
199	633	5699
200	635	5692
201	638	5679
202	639	5659
203	640	5639
204	641	5619
205	643	5600
206	644	5581
207	645	5562
208	646	5543
209	648	5525
210	649	5506
211	650	5488
212	652	5470
213	653	5452
214	654	5435
215	655	5417
216	657	5399
217	658	5382
218	659	5366
219	661	5349
220	663	5343
221	665	5327
222	667	5320
223	669	5304
224	670	5288
225	671	5272
226	672	5255
227	674	5239
228	675	5223
229	676	5207
230	677	5191
231	679	5175
232	680	5160
233	681	5145
234	684	5141
235	686	5131
236	688	5118
237	689	5102
238	690	5087
239	691	5073
240	693	5058
241	694	5043
242	695	5029
243	696	5014
244	698	5000
245	699	4987
246	700	4973
247	702	4959
248	703	4945
249	704	4931
250	705	4918
251	707	4905
252	708	4891
253	709	4880
254	711	4867
255	712	4853
256	713	4841
257	715	4830
258	717	4825
259	720	4821
260	721	4808
261	722	4795
262	724	4783
263	725	4770
264	726	4758
265	728	4746
266	729	4734
267	730	4722
268	731	4710
269	733	4698
270	734	4686
271	735	4674
272	737	4662
273	738	4651
274	740	4647
275	743	4644
276	744	4633
277	746	4622
278	747	4610
279	748	4599
280	750	4588
281	751	4577
282	752	4566
283	753	4555
284	755	4544
285	756	4534
286	757	4523
287	759	4512
288	760	4502
289	762	4493
290	763	4484
291	764	4474
292	766	4464
293	767	4454
294	768	4444
295	770	4433
296	771	4423
297	772	4413
298	774	4403
299	775	4393
300	776	4383
301	777	4373
302	779	4363
303	780	4353
304	781	4344
305	782	4334
306	784	4324
307	785	4315
308	786	4305
309	788	4296
310	789	4287
311	791	4281
312	792	4272
313	794	4263
314	795	4254
315	796	4244
316	797	4235
317	799	4226
318	800	4217
319	801	4208
320	802	4199
321	804	4191
322	805	4181
323	806	4172
324	807	4163
325	809	4155
326	810	4146
327	811	4138
328	813	4129
329	814	4121
330	815	4113
331	816	4104
332	818	4096
333	819	4087
334	820	4079
335	822	4071
336	824	4067
337	825	4058
338	826	4050
339	828	4042
340	829	4034
341	830	4026
342	831	4018
343	833	4010
344	834	4002
345	837	4002
346	838	3994
347	839	3986
348	841	3979
349	842	3971
350	843	3963
351	844	3955
352	846	3948
353	847	3940
354	848	3932
355	850	3925
356	851	3918
357	852	3910
358	853	3903
359	855	3896
360	856	3888
361	857	3880
362	858	3873
363	860	3866
364	861	3859
365	862	3851
366	864	3844
367	865	3837
368	866	3832
369	869	3828
370	873	3837
371	877	3840
372	879	3835
373	881	3831
374	884	3833
375	886	3830
376	889	3827
377	890	3821
378	891	3814
379	893	3807
380	894	3800
381	895	3793
382	897	3787
383	898	3780
384	899	3773
385	900	3766
386	902	3760
387	903	3753
388	904	3747
389	906	3740
390	907	3734
391	908	3727
392	909	3720
393	911	3714
394	912	3707
395	913	3701
396	915	3694
397	916	3687
398	917	3681
399	918	3674
400	920	3668
401	921	3661
402	922	3655
403	923	3649
404	925	3642
405	926	3636
406	927	3630
407	928	3623
408	929	3617
409	931	3611
410	932	3605
411	933	3599
412	935	3593
413	936	3587
414	937	3581
415	939	3575
416	940	3569
417	941	3563
418	942	3557
419	944	3551
420	945	3546
421	947	3543
422	951	3546
423	953	3545
424	955	3541
425	958	3541
426	961	3540
427	962	3536
428	965	3534
429	967	3531
430	968	3525
431	969	3519
432	970	3513
433	972	3508
434	973	3502
435	974	3496
436	976	3490
437	978	3488
438	980	3485
439	981	3479
440	982	3474
441	984	3469
442	985	3463
443	986	3458
444	988	3452
445	989	3447
446	990	3441
