iter	Passed	Remaining
0	1	2835
1	2	2740
2	4	2686
3	5	2658
4	6	2638
5	7	2627
6	9	2623
7	10	2632
8	11	2626
9	13	2626
10	14	2620
11	15	2619
12	17	2612
13	18	2608
14	19	2602
15	20	2599
16	22	2595
17	23	2593
18	24	2590
19	26	2588
20	27	2587
21	28	2591
22	30	2590
23	31	2586
24	32	2583
25	34	2581
26	35	2583
27	36	2580
28	37	2577
29	39	2574
30	40	2572
31	41	2571
32	43	2569
33	44	2570
34	45	2568
35	47	2566
36	48	2565
37	49	2563
38	50	2560
39	52	2558
40	53	2556
41	54	2555
42	56	2554
43	58	2600
44	60	2629
45	62	2648
46	65	2704
47	67	2748
48	68	2743
49	70	2739
50	71	2734
51	72	2730
52	74	2725
53	75	2720
54	76	2715
55	78	2710
56	79	2705
57	80	2700
58	81	2695
59	83	2690
60	84	2696
61	86	2714
62	88	2709
63	89	2704
64	90	2700
65	92	2696
66	93	2692
67	94	2688
68	95	2685
69	97	2696
70	99	2703
71	100	2700
72	102	2696
73	103	2692
74	104	2688
75	106	2684
76	107	2679
77	108	2676
78	109	2672
79	111	2668
80	112	2664
81	113	2661
82	115	2657
83	116	2655
84	117	2652
85	118	2648
86	120	2659
87	122	2671
88	125	2703
89	127	2700
90	128	2696
91	129	2692
92	131	2689
93	132	2685
94	133	2683
95	135	2679
96	136	2675
97	137	2671
98	138	2667
99	140	2677
100	143	2694
101	145	2712
102	148	2732
103	150	2750
104	153	2766
105	154	2763
106	155	2759
107	157	2755
108	158	2750
109	159	2746
110	161	2741
111	162	2738
112	163	2734
113	165	2731
114	166	2726
115	167	2723
116	168	2719
117	170	2715
118	171	2711
119	172	2707
120	174	2704
121	175	2700
122	176	2697
123	178	2693
124	179	2690
125	180	2686
126	181	2683
127	183	2680
128	184	2677
129	185	2673
130	187	2670
131	188	2668
132	189	2665
133	191	2662
134	192	2658
135	193	2655
136	195	2652
137	196	2649
138	197	2646
139	198	2643
140	200	2640
141	201	2638
142	202	2635
143	204	2632
144	205	2629
145	206	2626
146	208	2623
147	209	2619
148	210	2616
149	211	2613
150	213	2611
151	214	2608
152	215	2605
153	217	2603
154	218	2599
155	219	2595
156	220	2593
157	222	2590
158	223	2587
159	224	2584
160	226	2582
161	227	2579
162	228	2577
163	229	2574
164	231	2572
165	232	2569
166	233	2567
167	235	2565
168	236	2563
169	237	2560
170	239	2557
171	240	2555
172	241	2552
173	243	2550
174	244	2548
175	245	2545
176	246	2543
177	248	2540
178	249	2541
179	251	2538
180	252	2536
181	253	2536
182	255	2533
183	256	2535
184	258	2535
185	260	2540
186	261	2538
187	263	2535
188	264	2533
189	265	2531
190	266	2528
191	268	2526
192	269	2523
193	270	2521
194	272	2519
195	273	2516
196	274	2514
197	275	2511
198	277	2509
199	278	2507
200	279	2505
201	281	2502
202	282	2500
203	283	2498
204	285	2495
205	286	2493
206	287	2491
207	288	2489
208	290	2486
209	291	2484
210	292	2482
211	294	2479
212	295	2477
213	296	2475
214	297	2472
215	299	2470
216	300	2468
217	301	2466
218	303	2464
219	304	2461
220	305	2459
221	306	2457
222	308	2455
223	309	2453
224	310	2451
225	312	2449
226	316	2472
227	318	2476
228	320	2475
229	321	2472
230	322	2470
231	323	2468
232	325	2466
233	326	2464
234	327	2461
235	329	2459
236	330	2461
237	332	2461
238	333	2459
239	335	2457
240	336	2454
241	337	2452
242	338	2450
243	340	2448
244	341	2447
245	343	2450
246	345	2448
247	346	2446
248	347	2444
249	348	2442
250	350	2440
251	351	2438
252	352	2436
253	354	2434
254	355	2432
255	356	2430
256	358	2428
257	359	2426
258	360	2424
259	361	2422
260	363	2420
261	364	2418
262	366	2421
263	368	2423
264	372	2437
265	374	2438
266	375	2436
267	376	2434
268	377	2432
