iter	GammaRMSEMetric
0	3.839915849
1	3.826450224
2	3.813166985
3	3.799568616
4	3.785953733
5	3.772176845
6	3.758396644
7	3.744741997
8	3.730921761
9	3.717038535
10	3.702993992
11	3.688936242
12	3.674764368
13	3.660887947
14	3.64684944
15	3.632525079
16	3.61846957
17	3.60455591
18	3.590727064
19	3.57697333
20	3.56312759
21	3.549208582
22	3.535506123
23	3.521449912
24	3.507587807
25	3.493650674
26	3.480196468
27	3.466674371
28	3.453606556
29	3.440240571
30	3.427046224
31	3.413878475
32	3.40049372
33	3.38765353
34	3.37524395
35	3.362778232
36	3.349991273
37	3.337375204
38	3.325445652
39	3.313088875
40	3.301240987
41	3.288548867
42	3.27666167
43	3.265287244
44	3.253777661
45	3.241650379
46	3.230771071
47	3.220549484
48	3.209588835
49	3.198297983
50	3.187433725
51	3.17620561
52	3.165051221
53	3.15515641
54	3.145528893
55	3.135190626
56	3.125568189
57	3.116541975
58	3.10700712
59	3.098100273
60	3.088608541
61	3.080086662
62	3.070685694
63	3.061414014
64	3.052802076
65	3.044583292
66	3.036587007
67	3.028268014
68	3.020871861
69	3.012883103
70	3.004577145
71	2.996912523
72	2.988940917
73	2.981511078
74	2.97474583
75	2.967905285
76	2.961296915
77	2.954357011
78	2.947593563
79	2.941284979
80	2.93585794
81	2.93009557
82	2.923717644
83	2.916669821
84	2.909561975
85	2.903763355
86	2.899090814
87	2.894678701
88	2.888235419
89	2.882660165
90	2.877069125
91	2.871011908
92	2.865436563
93	2.860751219
94	2.854864683
95	2.84875842
96	2.844737656
97	2.840326892
98	2.835162783
99	2.829603553
100	2.824544713
101	2.820822569
102	2.817747314
103	2.812291878
104	2.809251288
105	2.805640649
106	2.801621509
107	2.796587454
108	2.791191299
109	2.785763172
110	2.782268181
111	2.777567595
112	2.774828009
113	2.770825167
114	2.768009139
115	2.763395837
116	2.759530948
117	2.756671943
118	2.751402928
119	2.747752806
120	2.743728004
121	2.740008583
122	2.73657599
123	2.733093109
124	2.730302192
125	2.727912678
126	2.725296737
127	2.721108892
128	2.718734351
129	2.715924656
130	2.712146736
131	2.706621802
132	2.703350816
133	2.700310681
134	2.699020628
135	2.695743008
136	2.692637492
137	2.687317008
138	2.68452348
139	2.680117224
140	2.678355694
141	2.674847893
142	2.672052176
143	2.66896724
144	2.666158541
145	2.661765521
146	2.660053307
147	2.658213556
148	2.655242549
149	2.652536229
150	2.649224831
151	2.647816196
152	2.644637287
153	2.642183254
154	2.640783857
155	2.639483983
156	2.637178014
157	2.633986549
158	2.632867895
159	2.631366766
160	2.628009986
161	2.624999679
162	2.622898493
163	2.621222733
164	2.618784214
165	2.616825421
166	2.615884096
167	2.612982913
168	2.609898766
169	2.607764989
170	2.605419977
171	2.60308501
172	2.601854402
173	2.599932656
174	2.597468511
175	2.595155345
176	2.593360294
177	2.590887375
178	2.588805822
179	2.587209942
180	2.584225589
181	2.581280755
182	2.579117543
183	2.577401029
184	2.573469852
185	2.571454065
186	2.569700076
187	2.568702403
188	2.565810835
189	2.564421674
190	2.562553537
191	2.560158487
192	2.557817591
193	2.55415816
194	2.552380369
195	2.550798727
196	2.550031354
197	2.548117963
198	2.546073481
199	2.544772424
200	2.542988272
201	2.540450811
202	2.538384885
203	2.536443677
204	2.534107856
205	2.530825638
206	2.529489137
207	2.527322995
208	2.526446558
209	2.52450942
210	2.52256099
211	2.521345086
212	2.519287512
213	2.518208017
214	2.517338685
215	2.515074881
216	2.513747867
217	2.511919165
218	2.510782696
219	2.510555721
220	2.508652451
221	2.505996705
222	2.503267365
223	2.502164555
224	2.500184954
225	2.498428869
226	2.496824671
227	2.493943736
228	2.491641933
229	2.490088638
230	2.487983171
231	2.48589163
232	2.485185905
233	2.48244325
234	2.480723928
235	2.477409393
236	2.476498653
237	2.473834754
238	2.471251157
239	2.468901218
240	2.467134207
241	2.466038945
242	2.464177672
243	2.462643679
244	2.460609112
245	2.458361099
246	2.458251449
247	2.455767369
248	2.454515407
249	2.452118084
250	2.449305582
251	2.446826707
252	2.444782338
253	2.443254839
254	2.44295048
255	2.440588624
256	2.43894752
257	2.437103898
258	2.436188892
259	2.433736541
260	2.431392421
261	2.430052542
262	2.427310367
263	2.426054939
264	2.4255537
265	2.425150399
266	2.422797494
267	2.42061877
268	2.419621369
269	2.417419147
270	2.416743051
271	2.415968644
272	2.412905386
273	2.411463557
274	2.409925056
275	2.407069913
276	2.405291926
277	2.403935161
278	2.401819417
279	2.400124056
