iter	GammaRMSEMetric
0	3.876250958
1	3.862354827
2	3.848581671
3	3.834550922
4	3.820452914
5	3.806144101
6	3.791854571
7	3.777571164
8	3.763157021
9	3.748744
10	3.734358887
11	3.719956202
12	3.70519456
13	3.690832292
14	3.676104739
15	3.661413248
16	3.646685688
17	3.632224947
18	3.617468375
19	3.602922918
20	3.588117551
21	3.573493252
22	3.558910891
23	3.544144962
24	3.529543362
25	3.51481615
26	3.500800557
27	3.486871861
28	3.47302528
29	3.459148207
30	3.445201591
31	3.43126013
32	3.417042743
33	3.40321416
34	3.390206875
35	3.376932654
36	3.36357403
37	3.350072973
38	3.336640668
39	3.323693226
40	3.310753994
41	3.297363863
42	3.285132403
43	3.273168333
44	3.261300374
45	3.24864241
46	3.23705102
47	3.225427032
48	3.213961546
49	3.201965528
50	3.190068116
51	3.178166764
52	3.166073379
53	3.155128036
54	3.14466267
55	3.133246809
56	3.123441333
57	3.113863413
58	3.10356417
59	3.093854175
60	3.084414699
61	3.075164174
62	3.065316883
63	3.055402156
64	3.047139798
65	3.037632313
66	3.028791292
67	3.019684746
68	3.011440395
69	3.003230064
70	2.994291182
71	2.985916755
72	2.977223815
73	2.969328004
74	2.961125947
75	2.954238518
76	2.948078929
77	2.941160005
78	2.932092003
79	2.924826904
80	2.916815058
81	2.909690655
82	2.904124595
83	2.898339041
84	2.891295797
85	2.885824357
86	2.880790283
87	2.873412037
88	2.867542301
89	2.861706022
90	2.85675352
91	2.849830649
92	2.844194955
93	2.838320575
94	2.834124689
95	2.829566334
96	2.824856508
97	2.819812569
98	2.814436916
99	2.809982043
100	2.804954152
101	2.800295229
102	2.795605143
103	2.791273779
104	2.786392652
105	2.782597365
106	2.779099631
107	2.774295145
108	2.769077113
109	2.765670828
110	2.762366568
111	2.756928172
112	2.752204085
113	2.746902529
114	2.743476022
115	2.739592876
116	2.735878478
117	2.730826952
118	2.724618167
119	2.719771812
120	2.714915128
121	2.709914213
122	2.705630661
123	2.701097189
124	2.697203663
125	2.694536396
126	2.691014442
127	2.687105356
128	2.683815
129	2.680155193
130	2.676397549
131	2.672679279
132	2.667537892
133	2.664354354
134	2.660419554
135	2.657070202
136	2.65172299
137	2.649048519
138	2.644849646
139	2.641775123
140	2.639251338
141	2.636457592
142	2.634834875
143	2.632162533
144	2.630130062
145	2.626789621
146	2.624012705
147	2.620784219
148	2.617956869
149	2.613656155
150	2.611384896
151	2.608255599
152	2.604133972
153	2.601719936
154	2.598638101
155	2.597441979
156	2.594316376
157	2.590375551
158	2.588349458
159	2.585191375
160	2.582763082
161	2.580895607
162	2.577379554
163	2.575377884
164	2.573547804
165	2.572403207
166	2.570059504
167	2.566897142
168	2.564118985
169	2.561608965
170	2.559668838
171	2.554897563
172	2.552294701
173	2.55003595
174	2.548605813
175	2.546634268
176	2.541901061
177	2.540611113
178	2.538672132
179	2.537398146
180	2.536020166
181	2.533333065
182	2.530655969
183	2.528397425
184	2.526194991
185	2.525011157
186	2.522306649
187	2.519892598
