,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
0,0.002824594582037279,5.189950223017921,0.862661612405227,-2.320008393909951,0.011444562388057652,-0.43157594014187634,0.5668695530505328,-0.561825727156628,0.04558966861142068,-0.1804860234717477,0.09901985323281727
1,16.47941653312992,1.4095194835872975,-5.808236226441364,-0.3231969818866868,6.057630438930988,1.9115181547272644,-2.037181761715062,-0.04806453297470198,6.183590291397073,-0.8425453234165325,0.47566816922908783
2,-1.1018967411437537,-2.399894809203801,0.45576248968818445,0.29369648906020035,-0.5855702950234659,0.2603127775263011,-0.3952077495561926,-0.6377908340273788,-0.05298460324088646,-0.012732605013004997,-0.18146998035060335
3,-1.745726702796736,-2.0646208562677097,-0.02563866624853682,-0.21252827837388258,-0.6559039581244822,1.3686134448757992,0.07536754422839935,-0.7270799090758291,-0.08624001331806802,-0.33214185081929937,0.8210894764342761
4,-0.9996535254905603,-1.569751799794719,-0.42687406337333184,-0.161354897364866,-0.9863658565331611,1.6575875470138783,-0.2944751602642891,-0.9314018297040315,-0.09321699343664472,-0.05201811184811378,0.4023540657959268
5,-1.2188063781838905,2.042941849517589,-0.09849887078629352,-0.13088992763465637,-0.16448095460706186,1.141899223352457,-0.15539940391118137,1.9312506730288683,-0.12254025142124367,0.05627486634968999,0.4829523432730584
6,-1.5406525156827189,1.9289093076546524,0.6074357829560576,1.433623315861193,-0.49810460823747504,1.1229920584886814,0.6387206710746514,-0.9495054056702131,0.02399300583377265,-0.7069516910551714,-1.037330172888811
7,-1.5470665388781117,-2.1851806951493797,-1.1013558378282549,-1.3267568177125253,-0.3698502281340533,0.9144602293615831,-0.34005897831972853,1.2200184292299086,-0.12203568621353297,-0.394283404370113,-1.0669988113476203
8,-2.1928094104919,-1.1931836369854103,-0.8643294716648159,-0.9570334176539871,-0.22171653281914255,0.901261377689784,-0.468702782004319,1.0585634944927247,-0.1362828259043787,-0.16888527383943952,-0.7395886381165645
9,-2.6398660349263694,1.9396194393665291,-0.6477540412428685,2.995605914584004,-0.05925155044783386,0.9269480100714764,-0.4000258725498506,1.6157926966689133,-0.13812710975931888,0.3603566459464155,1.2075797830139317
10,2.3696395235793646,8.68685226473738,1.8667100315654708,-4.225835149897896,-0.4286747171936917,0.24221295789102465,0.8615250136276879,-0.6481237553181131,0.06326476420246627,0.3203003811722501,0.9320784332224725
