iter	Passed	Remaining
0	3	6655
1	5	5183
2	7	4829
3	12	6221
4	15	6062
5	17	5955
6	21	6252
7	27	6752
8	33	7350
9	35	7053
10	38	6879
11	42	7056
12	45	6995
13	48	6830
14	51	6864
15	61	7676
16	67	7862
17	71	7841
18	73	7648
19	75	7479
20	77	7349
21	87	7896
22	96	8274
23	103	8481
24	107	8457
25	110	8418
26	115	8406
27	118	8376
28	122	8336
29	126	8307
30	130	8282
31	133	8181
32	135	8084
33	138	8031
34	141	7960
35	146	7980
36	152	8112
37	155	8041
38	159	7996
39	162	7985
40	166	7977
41	168	7848
42	169	7729
43	171	7609
44	176	7657
45	180	7670
46	184	7670
47	186	7590
48	188	7524
49	191	7483
50	196	7513
51	198	7447
52	200	7352
53	201	7260
54	202	7171
55	204	7089
56	205	7009
57	206	6928
58	208	6850
59	209	6774
60	210	6701
61	212	6632
62	213	6566
63	214	6500
64	216	6436
65	217	6373
66	218	6313
67	220	6254
68	221	6197
69	222	6141
70	224	6090
71	225	6037
72	226	5986
73	228	5937
74	229	5888
75	230	5842
76	232	5794
77	233	5748
78	234	5704
79	235	5660
80	237	5618
81	238	5577
82	239	5537
83	241	5498
84	242	5461
85	243	5424
86	245	5388
87	246	5351
88	247	5316
89	248	5282
90	250	5248
91	251	5215
92	252	5183
93	254	5152
94	255	5121
95	256	5091
96	257	5061
97	258	5025
98	260	4997
99	261	4969
100	262	4941
101	264	4914
102	265	4887
103	266	4861
104	267	4835
105	269	4811
106	270	4786
107	271	4762
108	273	4738
109	274	4715
110	275	4692
111	277	4670
112	278	4648
113	279	4627
114	280	4605
115	282	4584
116	283	4563
117	284	4544
118	286	4524
119	287	4504
120	288	4485
121	290	4466
122	291	4447
123	292	4429
124	294	4412
125	296	4407
126	297	4389
127	298	4372
128	300	4354
129	301	4337
130	302	4320
131	304	4304
132	305	4288
133	306	4272
