iter	GammaRMSEMetric
0	3.394688794
1	3.38625774
2	3.377259396
3	3.368873807
4	3.360228689
5	3.351887426
6	3.342772681
7	3.334020421
8	3.325384036
9	3.316845774
10	3.308318646
11	3.298954673
12	3.29089024
13	3.281754178
14	3.27304217
15	3.265258212
16	3.256261119
17	3.247895288
18	3.239677801
19	3.230056298
20	3.222421315
21	3.214143825
22	3.205610638
23	3.197167031
24	3.188782694
25	3.180605913
26	3.172900556
27	3.165356272
28	3.157319814
29	3.149031683
30	3.141074228
31	3.132863301
32	3.125827204
33	3.118914749
34	3.112298258
35	3.105033951
36	3.098238075
37	3.089966417
38	3.082103475
39	3.075892208
40	3.068074967
41	3.062022259
42	3.054484007
43	3.04815199
44	3.040203044
45	3.032883145
46	3.026218258
47	3.018871743
48	3.011741525
49	3.003974214
50	2.997596412
51	2.991371241
52	2.985281417
53	2.980115087
54	2.974373528
55	2.968998189
56	2.962469052
57	2.955580973
58	2.949776147
59	2.943565442
60	2.938325841
61	2.9316898
62	2.926198142
63	2.920430417
64	2.915136335
65	2.909592429
66	2.904023714
67	2.897206975
68	2.892676006
69	2.88789036
70	2.882313386
71	2.876123234
72	2.872127508
73	2.86687795
74	2.860388092
75	2.855910851
76	2.851315845
77	2.847250372
78	2.842732656
79	2.838648135
80	2.834348601
81	2.828972987
82	2.823771514
83	2.818841371
84	2.814508189
85	2.810791349
86	2.806054852
87	2.801273499
88	2.796259068
89	2.790498551
90	2.786610197
91	2.782802178
92	2.777718896
93	2.771511007
94	2.767863612
95	2.764261644
96	2.761125741
97	2.757269365
98	2.75385931
99	2.750338525
100	2.744866885
101	2.739574702
102	2.736085019
103	2.73310743
104	2.730275581
105	2.72548461
106	2.722398515
107	2.718988721
108	2.715535326
109	2.711575879
110	2.709017586
111	2.704297428
112	2.701781003
113	2.698295337
114	2.695000194
115	2.693464844
116	2.69105338
117	2.687971085
118	2.684567215
119	2.680410645
120	2.678375267
121	2.675994781
122	2.673425159
123	2.671957702
124	2.669969773
125	2.66788396
126	2.664183566
