iter	Passed	Remaining
0	330	660808
1	332	332015
2	334	222335
3	335	167394
4	337	134502
5	338	112528
6	340	96855
7	341	85079
8	343	75912
9	344	68617
10	346	62612
11	349	57876
12	351	53691
13	354	50245
14	356	47140
15	358	44439
16	360	42061
17	364	40086
18	369	38536
19	374	37056
20	377	35555
21	379	34155
22	382	32878
23	385	31702
24	387	30620
25	389	29540
26	390	28536
27	391	27602
28	393	26737
29	394	25930
30	396	25175
31	397	24464
32	399	23794
33	400	23168
34	402	22573
35	403	22010
36	404	21484
37	406	20983
38	407	20507
39	409	20057
40	410	19625
41	412	19221
42	414	18863
43	416	18518
44	419	18215
45	421	17888
46	422	17561
47	423	17239
48	425	16936
49	426	16648
50	428	16372
51	429	16106
52	431	15849
53	432	15590
54	434	15352
55	435	15122
56	437	14900
57	438	14685
58	440	14478
59	441	14282
60	444	14120
61	447	13976
62	450	13841
63	453	13705
64	455	13557
65	457	13417
66	460	13279
67	462	13143
68	464	13010
69	467	12880
70	469	12755
71	471	12632
72	474	12514
73	476	12407
74	478	12293
75	481	12183
76	483	12075
77	485	11973
78	487	11855
79	489	11737
80	490	11622
81	492	11510
82	493	11400
83	495	11295
84	496	11191
85	498	11094
86	500	11003
87	502	10923
88	504	10839
89	506	10744
90	507	10651
91	509	10561
92	510	10477
93	512	10391
94	514	10309
95	515	10228
96	518	10167
97	519	10086
98	521	10007
99	522	9929
100	524	9854
101	525	9781
102	527	9711
103	529	9660
104	531	9591
105	533	9527
106	535	9469
107	537	9424
108	540	9381
109	543	9342
110	546	9301
111	549	9264
112	552	9229
113	555	9192
114	558	9161
115	561	9120
116	564	9083
117	567	9046
118	569	9004
119	571	8952
120	573	8900
121	575	8863
122	577	8809
123	578	8756
124	581	8720
125	583	8681
126	585	8640
127	587	8589
128	588	8538
129	590	8490
130	591	8443
131	593	8395
132	594	8351
133	596	8304
134	598	8268
135	601	8239
136	602	8199
137	604	8158
138	607	8130
139	608	8087
140	610	8046
141	612	8008
142	614	7974
143	616	7944
144	618	7912
145	619	7872
146	621	7833
147	622	7795
148	624	7761
149	626	7727
150	630	7717
151	631	7682
152	634	7658
153	636	7634
154	639	7611
155	641	7588
156	644	7565
157	647	7543
158	649	7521
159	651	7488
160	652	7454
161	654	7423
162	655	7390
163	657	7357
164	659	7336
165	661	7304
166	662	7272
167	664	7241
168	665	7213
169	667	7182
170	668	7153
171	670	7124
172	672	7096
173	673	7068
174	675	7039
175	676	7011
176	678	6984
177	679	6956
178	681	6930
179	682	6903
180	684	6878
181	685	6852
182	687	6826
183	689	6801
184	690	6775
185	693	6761
186	695	6742
187	697	6726
188	699	6701
189	700	6676
190	702	6651
191	703	6628
192	705	6603
193	706	6580
194	709	6565
195	710	6542
196	712	6519
197	713	6496
198	715	6474
199	717	6453
200	720	6444
201	723	6438
202	725	6422
203	727	6401
204	729	6388
205	732	6377
206	734	6364
207	737	6352
208	739	6340
209	742	6328
210	744	6308
211	745	6288
212	746	6266
213	748	6245
214	749	6225
215	751	6206
216	752	6185
217	754	6166
218	755	6147
219	757	6127
220	758	6109
221	760	6090
222	761	6071
223	763	6053
224	765	6035
225	766	6016
226	768	5998
227	769	5980
228	770	5961
229	772	5944
230	773	5926
231	775	5909
232	776	5891
233	779	5886
234	781	5872
235	785	5871
236	787	5855
237	788	5837
238	789	5820
239	791	5804
240	792	5787
241	794	5770
242	796	5755
243	797	5739
244	798	5723
245	800	5706
246	801	5690
247	803	5675
248	804	5659
249	806	5644
250	808	5632
251	809	5618
252	812	5610
253	814	5596
254	816	5589
255	819	5580
256	821	5572
257	824	5564
258	826	5556
259	828	5547
260	830	5536
261	832	5521
262	833	5506
263	835	5492
264	836	5477
265	838	5463
266	839	5449
267	840	5434
268	842	5420
269	843	5406
270	845	5393
271	846	5379
272	848	5366
273	849	5352
274	851	5339
275	852	5325
276	853	5311
277	857	5310
278	860	5309
279	863	5306
280	867	5303
281	870	5301
282	873	5300
283	876	5295
284	879	5294
285	882	5290
286	886	5290
287	889	5287
288	892	5285
289	899	5302
290	902	5301
291	906	5299
292	909	5296
293	914	5305
294	919	5311
295	922	5312
296	928	5321
297	940	5372
298	958	5452
299	967	5483
300	975	5508
301	989	5562
302	997	5584
303	1002	5591
304	1009	5608
305	1019	5644
306	1045	5765
