iter	GammaRMSEMetric
0	3.877643265
1	3.863920303
2	3.850115534
3	3.836267687
4	3.822050938
5	3.80777458
6	3.79364283
7	3.779497023
8	3.765222268
9	3.75088644
10	3.736325925
11	3.721931697
12	3.707527692
13	3.69292158
14	3.678486729
15	3.663917949
16	3.649497715
17	3.63504363
18	3.620346327
19	3.605954971
20	3.591522293
21	3.577275108
22	3.562947259
23	3.548688346
24	3.534767825
25	3.520663383
26	3.506599918
27	3.492869368
28	3.479000154
29	3.465122398
30	3.451323474
31	3.437737657
32	3.423875415
33	3.41036586
34	3.397203407
35	3.384259189
36	3.371275442
37	3.358514242
38	3.345766184
39	3.333407081
40	3.320807663
41	3.308049985
42	3.295755234
43	3.282755112
44	3.270346522
45	3.25755742
46	3.24519727
47	3.234034339
48	3.223236805
49	3.211349071
50	3.19974946
51	3.189179823
52	3.178978225
53	3.168985705
54	3.159272489
55	3.148907793
56	3.138477182
57	3.12829787
58	3.119367063
59	3.109537624
60	3.099732366
61	3.091223693
62	3.083071509
63	3.074170823
64	3.065036812
65	3.056876959
66	3.048692037
67	3.04084131
68	3.032482136
69	3.025660535
70	3.018193322
71	3.009881728
72	3.002892782
73	2.994347966
74	2.987787411
75	2.980417602
76	2.97376193
77	2.966853542
78	2.961106404
79	2.955116276
80	2.948341776
81	2.942592301
82	2.936083241
83	2.928971177
84	2.923334973
85	2.916911122
86	2.910684805
87	2.905888619
88	2.900683841
89	2.895845954
90	2.890310178
91	2.885250094
92	2.879742644
93	2.87570791
94	2.869872947
95	2.864268757
96	2.859278192
97	2.855722794
98	2.850600348
99	2.84664988
100	2.84223121
101	2.837644989
102	2.832910439
103	2.828166184
104	2.824281636
105	2.820301056
106	2.816429887
107	2.812747864
108	2.80836786
109	2.804172247
110	2.799566628
111	2.795046248
112	2.79076011
113	2.787814628
114	2.784331153
115	2.78103689
116	2.777778973
117	2.773739007
118	2.769903056
119	2.767071783
120	2.763567645
121	2.760742199
122	2.758058179
123	2.753011311
124	2.750463802
125	2.748138881
126	2.743524198
127	2.739380022
128	2.737555046
129	2.734628912
130	2.730401075
131	2.726143675
132	2.722493962
133	2.71891098
134	2.714642612
135	2.710664178
136	2.707284785
137	2.704510479
138	2.700128377
139	2.697343991
140	2.694712541
141	2.690894467
142	2.687058246
143	2.683880893
144	2.681583753
145	2.678423649
146	2.676502851
147	2.673823345
148	2.67108127
149	2.668988176
150	2.665024632
151	2.663065152
152	2.660666465
153	2.658105919
154	2.655979748
155	2.653681088
156	2.650869289
157	2.648569626
158	2.646085462
159	2.642730907
160	2.641244205
161	2.638237187
162	2.635456825
163	2.632186059
164	2.629434618
165	2.62649871
166	2.623446411
167	2.620691145
168	2.618547913
169	2.616338307
170	2.613772389
171	2.612036125
172	2.610965941
173	2.60820176
174	2.605273488
175	2.60275208
176	2.599710685
177	2.59518533
178	2.590828372
179	2.587998388
180	2.585446658
181	2.582405311
182	2.580356763
183	2.57775066
184	2.575614467
185	2.573199657
186	2.570024699
187	2.568058041
188	2.567053448
189	2.56608366
190	2.56408317
191	2.56185588
192	2.56002147
193	2.558785229
194	2.557294357
195	2.555221341
196	2.553261568
197	2.551814752
198	2.55024192
199	2.548558453
200	2.547546521
201	2.54523986
202	2.544168278
203	2.541357215
204	2.540102716
205	2.537206426
206	2.536485478
207	2.534784199
208	2.532817492
209	2.530636119
210	2.528653219
211	2.525826508
212	2.523488298
213	2.52143853
214	2.519836487
215	2.51785225
216	2.516723506
217	2.515328087
218	2.512708061
219	2.51039257
220	2.507921649
221	2.506395725
222	2.504357748
223	2.50218909
224	2.500110736
225	2.498473639
226	2.496726008
227	2.493720466
228	2.492256431
229	2.491476039
230	2.489067595
231	2.487578105
232	2.486114515
233	2.484406757
234	2.483500444
235	2.481644678
236	2.480884527
237	2.480446693
238	2.477400039
239	2.475161861
240	2.473381405
241	2.472498767
242	2.470352677
243	2.467443207
244	2.465416309
245	2.463467581
246	2.461725432
247	2.459326153
248	2.457087416
249	2.454175193
250	2.453025718
251	2.449745467
252	2.447396052
253	2.445064739
254	2.444237509
255	2.441837804
256	2.439889151
257	2.437739458
258	2.436144067
259	2.434147511
260	2.431512943
261	2.428955295
262	2.427052214
263	2.424922663
264	2.424270465
265	2.422457941
266	2.420616426
267	2.41856266
268	2.416865514
269	2.415902152
270	2.413661458
271	2.413386295
272	2.410659407
273	2.408872126
274	2.408585945
275	2.407807395
276	2.405396972
277	2.403851595
278	2.401413234
279	2.400168979
280	2.397969742
281	2.396393459
282	2.396124222
283	2.394363268
284	2.39390591
285	2.393775447
286	2.393130136
287	2.391911495
288	2.388865557
289	2.386819855
290	2.386419869
291	2.385977346
292	2.383012528
293	2.3809952
294	2.379867538
295	2.379190458
296	2.377461828
297	2.376617638
298	2.37434189
299	2.372983746
300	2.371643945
301	2.371184679
302	2.368838905
303	2.367900111
304	2.366915076
305	2.366471138
306	2.36508585
307	2.36464515
308	2.364194848
309	2.362722482
310	2.362373879
311	2.361753147
312	2.360027304
313	2.358858302
314	2.357843665
315	2.356565163
316	2.356140979
317	2.354246787
318	2.353820022
319	2.352514605
320	2.350718292
321	2.349184564
322	2.348824088
323	2.346910983
324	2.346824061
325	2.344669553
326	2.343747041
327	2.342573053
328	2.342185999
329	2.340883323
330	2.339811366
331	2.339487442
332	2.338844111
333	2.337337791
334	2.336958905
335	2.336225547
336	2.334083164
337	2.333970388
338	2.331233379
339	2.331120332
340	2.330793033
341	2.330403998
342	2.328553572
343	2.326519858
344	2.324241068
345	2.322990374
346	2.321229045
347	2.319907487
348	2.319565289
349	2.317959139
350	2.31785748
351	2.317448939
352	2.31719558
353	2.315904259
354	2.314789276
355	2.314305562
356	2.313334349
357	2.313268227
358	2.311953811
359	2.309620096
360	2.307557789
361	2.307165513
362	2.306303463
363	2.305048806
364	2.304289608
365	2.303230253
366	2.301326832
367	2.29994022
368	2.298806928
369	2.298531511
370	2.296855642
371	2.295663883
372	2.293840745
373	2.293790577
374	2.293728294
375	2.291628575
376	2.289762008
377	2.288426666
378	2.286636903
379	2.284822091
380	2.284404976
381	2.283332952
382	2.283314275
383	2.281502148
384	2.281268568
385	2.280405925
386	2.280147141
387	2.277823206
388	2.276853251
389	2.275083479
390	2.274372632
391	2.273729058
392	2.273375103
393	2.271670278
394	2.271367784
395	2.270678995
396	2.268703357
397	2.268508279
398	2.267515932
399	2.267268416
400	2.266860099
401	2.265534981
402	2.265151432
403	2.264002878
404	2.263395805
405	2.261920151
406	2.261775389
407	2.261332742
408	2.260876679
409	2.260829607
410	2.260283878
411	2.258788441
412	2.257920442
413	2.257818712
414	2.256993692
415	2.256328478
416	2.256074632
417	2.254945493
418	2.254347609
419	2.25392736
420	2.252309065
421	2.251345362
422	2.250658076
423	2.250404459
424	2.249659052
425	2.249354422
426	2.248876455
427	2.248224445
428	2.248032548
429	2.247987721
430	2.247707634
431	2.245698882
432	2.244562574
433	2.244016847
434	2.243123908
435	2.242540934
436	2.241742237
437	2.240052746
438	2.238967591
439	2.238493546
440	2.238432585
441	2.237506279
442	2.235962421
443	2.234993395
444	2.234443989
445	2.233264734
446	2.231949957
447	2.231787073
448	2.23092478
449	2.23022426
450	2.230195167
451	2.229041216
452	2.22864832
453	2.227952072
454	2.226151681
455	2.225009879
456	2.224749214
457	2.224529998
458	2.224338848
459	2.22394866
460	2.223335498
461	2.221722844
462	2.221310872
463	2.221072903
464	2.220186616
465	2.218365093
466	2.216993068
467	2.216764367
468	2.215716757
469	2.215485215
470	2.215066177
471	2.214090126
472	2.213489933
473	2.212859523
474	2.212697102
475	2.21265102
476	2.21248944
477	2.212294889
478	2.211510809
479	2.210139388
480	2.210103682
481	2.208482976
482	2.208087039
483	2.207415512
484	2.206284208
485	2.20459646
486	2.204036134
487	2.203863396
488	2.202440763
489	2.202181015
490	2.201937624
491	2.201739311
492	2.201048515
493	2.200641911
494	2.200243217
495	2.199933199
496	2.199909588
497	2.199890421
498	2.199762929
499	2.199297138
500	2.197604015
501	2.19594363
502	2.195573127
503	2.195450545
504	2.195309077
505	2.195236918
506	2.193416024
507	2.193012002
508	2.192940571
509	2.191314017
510	2.190332906
511	2.189115426
512	2.189053291
513	2.188070863
514	2.187637435
515	2.186886944
516	2.186110532
517	2.18545725
518	2.18546349
519	2.184710906
520	2.184156318
521	2.184141287
522	2.184033717
523	2.183455867
524	2.18163779
525	2.180616644
526	2.179424929
527	2.178658346
528	2.177284132
529	2.176623742
530	2.176487607
531	2.176080666
532	2.174424335
533	2.172658744
534	2.171036677
535	2.170141744
536	2.170135124
537	2.169503503
538	2.169121987
539	2.168704858
540	2.168543474
541	2.168465562
542	2.168295174
543	2.168216475
544	2.168213681
545	2.168193568
546	2.167182115
547	2.167165908
548	2.167067352
549	2.16689307
550	2.166804981
551	2.166476551
552	2.165782724
553	2.165116816
554	2.165048611
555	2.164436489
556	2.163065796
557	2.162039484
558	2.161577387
559	2.160818945
560	2.159893192
561	2.159817265
562	2.159837252
563	2.159396051
564	2.157501826
565	2.156284741
566	2.155644053
567	2.155464862
568	2.154805741
569	2.152543277
570	2.15214733
571	2.151918405
572	2.151827146
