iter	Passed	Remaining
0	2	4898
1	3	3798
2	5	3426
3	6	3229
4	7	3106
5	9	3031
6	10	2960
7	11	2958
8	13	2919
9	14	2891
10	15	2863
11	17	2866
12	19	3055
13	22	3215
14	27	3637
15	29	3636
16	30	3572
17	33	3674
18	36	3831
19	39	3913
20	40	3860
21	42	3812
22	43	3755
23	45	3706
24	47	3765
25	50	3818
26	52	3872
27	54	3850
28	57	3939
29	60	3953
30	61	3906
31	62	3863
32	65	3897
33	66	3844
34	69	3874
35	70	3836
36	71	3804
37	72	3769
38	73	3719
39	77	3788
40	79	3810
41	81	3780
42	82	3750
43	83	3721
44	85	3693
45	86	3668
46	87	3642
47	89	3628
48	91	3631
49	92	3608
50	93	3586
51	95	3565
52	96	3544
53	99	3597
54	101	3586
55	103	3587
56	104	3568
57	106	3549
58	107	3530
59	110	3560
60	112	3571
61	113	3555
62	114	3518
63	115	3501
64	117	3483
65	118	3467
66	119	3451
67	120	3434
68	123	3456
69	124	3434
70	125	3419
71	127	3405
72	128	3392
73	129	3380
74	131	3366
75	132	3353
76	133	3341
77	135	3328
78	136	3316
79	137	3304
80	139	3293
81	140	3281
82	141	3269
83	142	3259
84	144	3249
85	145	3239
86	146	3228
87	148	3218
88	149	3209
89	150	3199
90	152	3190
91	153	3181
92	154	3172
93	155	3163
94	157	3154
95	158	3145
96	159	3136
97	161	3129
98	162	3121
99	163	3113
100	165	3105
101	166	3096
102	167	3088
103	169	3081
104	170	3074
105	171	3067
106	172	3060
107	174	3054
108	176	3061
109	178	3063
110	180	3076
111	182	3069
112	183	3062
113	184	3055
114	185	3048
115	187	3042
116	188	3035
117	189	3028
118	191	3021
119	192	3015
120	193	3008
121	195	3002
122	196	2997
123	197	2991
124	199	2985
125	201	2993
126	203	3003
127	205	3003
128	207	3016
129	210	3028
130	213	3039
131	215	3050
132	218	3062
133	220	3068
134	224	3095
135	229	3147
136	231	3154
137	234	3163
138	238	3195
139	242	3228
140	245	3238
141	247	3241
142	249	3235
143	250	3229
144	251	3222
145	253	3215
146	254	3208
147	255	3201
148	257	3195
149	258	3188
150	259	3182
151	261	3175
152	262	3168
153	263	3161
154	265	3161
155	267	3164
156	270	3171
157	271	3164
158	272	3158
159	274	3151
160	275	3145
161	276	3138
162	277	3132
163	279	3126
164	280	3120
165	281	3113
166	283	3107
167	284	3101
168	285	3095
169	287	3089
170	288	3083
171	289	3078
172	290	3070
173	292	3065
174	293	3059
175	294	3053
176	295	3047
177	298	3055
178	301	3063
179	302	3058
180	303	3052
181	305	3046
182	306	3042
183	307	3036
184	309	3031
185	310	3025
186	311	3020
187	312	3014
188	314	3009
189	315	3004
190	316	2999
191	318	2994
192	319	2989
193	320	2984
194	321	2979
195	323	2974
196	324	2970
197	325	2965
198	327	2960
199	328	2955
200	329	2949
201	330	2944
202	332	2940
203	333	2936
204	335	2941
205	338	2944
206	339	2941
207	340	2936
208	342	2933
209	343	2928
210	344	2924
211	346	2919
212	347	2915
213	348	2911
214	350	2907
215	352	2911
216	353	2907
217	356	2915
218	358	2911
219	359	2907
220	360	2903
221	362	2899
222	363	2899
223	365	2898
224	366	2894
225	368	2890
226	369	2886
227	370	2882
228	372	2878
229	374	2883
230	376	2882
231	377	2880
232	379	2876
233	380	2872
234	381	2868
235	383	2864
236	384	2861
237	386	2864
238	389	2868
239	391	2870
240	392	2866
241	394	2862
242	395	2858
243	396	2856
244	398	2851
245	399	2850
246	401	2846
247	402	2842
248	403	2838
249	406	2846
250	408	2849
251	410	2850
252	412	2847
253	415	2855
254	417	2857
255	418	2853
256	420	2849
257	421	2845
258	422	2841
259	424	2837
260	425	2834
261	428	2845
262	430	2843
263	431	2839
264	433	2835
265	434	2831
266	435	2827
267	438	2832
268	440	2836
269	443	2838
270	446	2849
271	448	2846
272	449	2843
273	450	2838
274	451	2834
275	453	2831
276	454	2827
277	455	2823
278	457	2819
279	458	2815
280	459	2811
281	460	2807
282	462	2803
283	463	2799
284	464	2795
285	465	2792
286	467	2789
287	468	2785
288	469	2782
289	471	2778
290	472	2774
291	473	2770
292	475	2770
293	477	2772
294	480	2775
295	481	2772
296	482	2768
297	484	2764
298	485	2761
299	486	2758
300	488	2754
301	489	2751
302	490	2747
303	492	2744
304	493	2743
305	494	2740
306	496	2736
307	497	2733
308	498	2729
309	500	2725
310	501	2722
311	502	2718
312	503	2715
313	505	2712
314	507	2715
315	510	2719
316	511	2715
317	512	2712
318	514	2709
319	515	2705
320	516	2702
321	517	2699
322	519	2695
323	520	2692
324	521	2688
325	522	2685
326	524	2682
327	525	2679
328	526	2675
329	528	2672
330	529	2669
331	530	2665
332	531	2662
333	533	2659
334	534	2655
335	535	2652
336	536	2649
337	538	2646
338	539	2642
339	540	2639
340	541	2636
341	543	2633
342	544	2630
343	545	2627
344	547	2624
345	548	2621
346	549	2618
347	551	2615
348	552	2612
349	554	2613
350	556	2614
351	558	2613
352	560	2613
353	561	2610
354	562	2607
355	563	2604
356	565	2601
357	566	2598
358	567	2596
359	569	2593
360	570	2590
361	571	2587
362	573	2584
363	574	2581
364	575	2578
365	577	2576
366	578	2573
367	579	2570
368	580	2567
369	582	2564
370	583	2561
371	584	2558
372	585	2556
373	587	2553
374	588	2550
375	589	2547
376	591	2544
377	592	2542
378	593	2539
379	595	2536
380	596	2533
381	597	2531
382	598	2528
383	600	2525
384	601	2523
385	602	2520
386	603	2517
387	605	2514
388	606	2511
389	607	2509
390	609	2506
391	610	2503
392	611	2500
393	612	2498
394	614	2495
395	615	2492
396	616	2489
397	617	2486
398	619	2484
399	620	2481
400	621	2479
401	623	2476
402	624	2474
403	625	2471
404	626	2469
405	628	2466
406	629	2463
407	631	2462
408	633	2463
409	635	2463
410	637	2462
411	638	2461
412	639	2459
413	641	2456
414	642	2454
415	643	2451
416	645	2449
417	646	2446
418	647	2444
419	648	2441
420	650	2438
421	651	2436
422	652	2433
423	654	2430
424	655	2428
425	656	2425
426	657	2423
427	659	2420
428	660	2418
429	661	2415
430	663	2413
431	664	2411
432	665	2409
433	666	2406
434	668	2404
435	669	2403
436	671	2400
437	673	2400
438	678	2413
439	681	2414
440	682	2414
441	684	2411
442	685	2409
443	686	2407
444	688	2405
445	690	2405
446	691	2403
447	693	2401
448	694	2398
449	695	2396
450	697	2394
451	698	2391
452	699	2389
453	701	2387
454	702	2384
455	703	2382
456	704	2379
457	706	2377
458	707	2374
459	708	2372
460	709	2370
461	711	2368
462	713	2368
463	717	2375
464	718	2372
465	720	2370
466	721	2368
467	723	2367
468	724	2365
469	725	2363
470	727	2360
471	728	2358
472	729	2355
473	730	2353
474	732	2350
475	733	2348
476	734	2345
477	736	2343
478	738	2345
479	740	2344
480	741	2342
481	742	2339
482	744	2337
483	745	2335
484	746	2332
485	748	2330
486	749	2328
487	750	2325
488	752	2323
489	753	2321
