iter	GammaRMSEMetric
0	3.811278764
1	3.79761662
2	3.784022893
3	3.770250795
4	3.756385191
5	3.742332179
6	3.728302712
7	3.71424261
8	3.700131204
9	3.686032385
10	3.671642081
11	3.657459519
12	3.643046577
13	3.628990415
14	3.614561453
15	3.59996879
16	3.585585297
17	3.571450316
18	3.556982639
19	3.542848922
20	3.528511078
21	3.514253466
22	3.50032515
23	3.486009911
24	3.471847245
25	3.457490155
26	3.44378636
27	3.429936108
28	3.416474447
29	3.40280445
30	3.389264531
31	3.375853452
32	3.362367601
33	3.349292257
34	3.335998863
35	3.322815272
36	3.30981004
37	3.297169809
38	3.285061472
39	3.27270629
40	3.260380848
41	3.248220454
42	3.236458447
43	3.225106258
44	3.213779101
45	3.201642346
46	3.190020437
47	3.178804294
48	3.167155981
49	3.155601175
50	3.144265064
51	3.13304084
52	3.121589681
53	3.110989094
54	3.101257039
55	3.090459543
56	3.081122787
57	3.072376138
58	3.062766241
59	3.054161838
60	3.044609955
61	3.035542662
62	3.026288666
63	3.017230044
64	3.009493692
65	3.001288013
66	2.993202648
67	2.984999799
68	2.977401591
69	2.969882907
70	2.961662821
71	2.955110466
72	2.947006989
73	2.939644683
74	2.93193871
75	2.925716773
76	2.91900607
77	2.913243947
78	2.90574457
79	2.899575532
80	2.892769455
81	2.886415837
82	2.880424135
83	2.875473755
84	2.871151721
85	2.865619673
86	2.860493791
87	2.854489991
88	2.849481397
89	2.844295218
90	2.838816978
91	2.834753417
92	2.829867934
93	2.825323111
94	2.819142897
95	2.815227456
96	2.809525706
97	2.804038514
98	2.799523423
99	2.795996308
100	2.791479909
101	2.78725731
102	2.783942523
103	2.779079751
104	2.776759778
105	2.772492291
106	2.767241237
107	2.764096457
108	2.761136026
109	2.756731795
110	2.752877945
111	2.748799218
112	2.745872489
113	2.74238288
114	2.738620587
115	2.734537461
116	2.730337268
117	2.727057633
118	2.72357587
119	2.720561121
120	2.717289196
121	2.712082239
122	2.708907599
123	2.705360929
124	2.702343212
125	2.699068303
126	2.695220578
127	2.69290986
128	2.688807451
129	2.68475031
130	2.681747405
131	2.677748539
132	2.673703513
133	2.671379182
134	2.668030083
135	2.664271132
136	2.660512418
137	2.657923523
138	2.654256758
139	2.65087313
140	2.648362365
141	2.644239061
142	2.640535366
143	2.637943062
144	2.635526585
145	2.632543735
146	2.62898888
147	2.626535379
148	2.623995913
149	2.620543329
150	2.618074251
151	2.61402573
152	2.612568742
153	2.60987766
154	2.607298993
155	2.605748299
156	2.602827728
157	2.601306211
158	2.599285614
159	2.597114912
160	2.594866785
161	2.592366026
162	2.58959392
163	2.587896616
164	2.585954699
165	2.583972571
166	2.58193414
167	2.579952146
168	2.577440171
169	2.574189483
170	2.571364464
171	2.569463819
172	2.567491962
173	2.564258326
174	2.562572661
175	2.560927858
176	2.558075328
177	2.555961117
178	2.554601587
179	2.553355984
180	2.550907226
181	2.548614403
182	2.545789995
183	2.543658845
184	2.542946004
185	2.541185872
186	2.539229286
187	2.537069491
188	2.535353301
189	2.533950944
190	2.531432217
191	2.530395806
192	2.528187609
193	2.526345837
194	2.524498066
195	2.522932528
196	2.521137997
197	2.518687169
198	2.517635078
199	2.515911572
200	2.515174028
201	2.513346855
202	2.512300493
203	2.509952187
204	2.507968117
205	2.506402406
206	2.505408494
207	2.503193959
208	2.500788858
209	2.49833859
210	2.496914636
211	2.495598703
212	2.494119169
213	2.492080617
214	2.490397312
215	2.489372491
216	2.488059889
217	2.485206065
218	2.484613592
219	2.483168052
220	2.48067706
221	2.478222808
222	2.477821869
223	2.476238166
224	2.473381397
225	2.471783816
226	2.469738254
227	2.468420349
228	2.467190701
229	2.466320442
230	2.464815883
231	2.463999752
232	2.462193862
233	2.460578346
234	2.458747664
235	2.456785793
236	2.455232571
237	2.452427192
238	2.449948078
239	2.449112458
240	2.44823937
241	2.446651473
242	2.445068721
243	2.442905647
244	2.440207652
245	2.438733474
246	2.436676237
247	2.434703874
248	2.432586356
249	2.431860894
250	2.429523089
251	2.427400459
252	2.425260726
253	2.423106058
254	2.420705902
255	2.41921482
256	2.417831203
257	2.417314192
258	2.41608394
259	2.414375917
260	2.413896392
261	2.413309304
262	2.409697513
263	2.408949527
264	2.40746113
265	2.406748017
266	2.404948469
267	2.404647416
268	2.403546353
269	2.402027133
270	2.400235817
271	2.399624476
272	2.397025152
273	2.394960994
274	2.393018489
275	2.391487236
276	2.39131359
277	2.389823226
278	2.38834605
279	2.385785449
280	2.385200893
281	2.383411224
282	2.382934201
283	2.381816053
284	2.381160296
285	2.379351461
286	2.377536484
287	2.376170212
288	2.373909314
289	2.371963947
290	2.370565619
291	2.369519505
292	2.368410364
293	2.366737915
294	2.365889738
295	2.365241998
296	2.363745763
297	2.362133197
298	2.359756873
299	2.358500704
300	2.357301956
301	2.357179757
302	2.35662528
303	2.35293761
304	2.35082893
305	2.350311159
306	2.349733819
307	2.347805785
308	2.347122667
309	2.345603165
310	2.344947045
311	2.344447772
312	2.342998934
313	2.342405324
314	2.340066206
315	2.339391745
316	2.338901624
317	2.338258776
318	2.335169079
319	2.333841053
320	2.333294005
321	2.332243837
322	2.330560304
323	2.329630437
324	2.329153266
325	2.328585854
326	2.328104135
327	2.3270806
328	2.325893606
329	2.325394335
330	2.325168841
331	2.324879625
332	2.321958999
333	2.320704307
334	2.319283051
335	2.318156773
336	2.318044053
337	2.317569066
338	2.316460697
339	2.314899962
340	2.312682942
341	2.311321612
342	2.311217643
343	2.309906716
344	2.308844024
345	2.306652934
346	2.305960817
347	2.305504618
348	2.305200828
349	2.304066523
350	2.303755908
351	2.302686649
352	2.30192402
353	2.301380611
354	2.301039244
355	2.300460761
356	2.300118904
357	2.298889033
358	2.298462339
359	2.298043039
360	2.29642968
361	2.296190191
362	2.294829432
363	2.293164351
364	2.291616262
365	2.289326368
366	2.2883924
367	2.287560206
368	2.28630295
369	2.286030571
370	2.285624606
371	2.281985028
372	2.281276103
373	2.280078932
374	2.279937165
375	2.278974617
376	2.278148337
377	2.277200659
378	2.276770089
379	2.275283718
380	2.275108177
381	2.275241397
382	2.274858043
383	2.273147106
384	2.272105864
385	2.271659758
386	2.271140713
387	2.270094532
388	2.268010686
389	2.265952158
390	2.26465701
391	2.26429433
392	2.262353324
393	2.261685361
394	2.261327205
395	2.259077678
396	2.258337152
397	2.257622311
398	2.256478322
399	2.255074434
400	2.254718201
401	2.254333243
402	2.252464852
403	2.251976658
404	2.251691279
405	2.250718809
406	2.249815793
407	2.249176484
408	2.248205265
409	2.248124105
410	2.246768322
411	2.244825931
412	2.244812336
413	2.244369964
414	2.242010561
415	2.241906335
416	2.241767345
417	2.239893609
418	2.23976758
419	2.239543247
420	2.239212627
421	2.238066057
422	2.237115125
423	2.236674029
424	2.235816824
425	2.235824657
426	2.235187611
427	2.234845915
428	2.232567066
429	2.232418565
430	2.230247111
431	2.229559063
432	2.229131938
433	2.228676549
434	2.228513542
435	2.227659889
436	2.226980851
437	2.226707539
438	2.226065174
439	2.225951126
440	2.224046274
441	2.223790814
442	2.223139901
443	2.221656915
444	2.221526639
445	2.221413408
446	2.220356637
447	2.220034855
448	2.218400671
449	2.218029338
450	2.217920858
451	2.216976807
452	2.216531355
453	2.215692542
454	2.215313197
455	2.21388393
456	2.213756639
