iter	GammaRMSEMetric
0	3.818881578
1	3.805309362
2	3.791774392
3	3.778189348
4	3.764273702
5	3.750316594
6	3.736323381
7	3.722384178
8	3.708401702
9	3.694307436
10	3.680104089
11	3.666068866
12	3.651696194
13	3.637587986
14	3.623343027
15	3.608754266
16	3.594377533
17	3.580299968
18	3.566273322
19	3.552207371
20	3.537866831
21	3.523612273
22	3.509598491
23	3.495371354
24	3.481569604
25	3.467409721
26	3.453672861
27	3.439847028
28	3.426549081
29	3.412826103
30	3.399409364
31	3.385545285
32	3.371564244
33	3.358213628
34	3.345378065
35	3.332517323
36	3.319506957
37	3.306222558
38	3.293647088
39	3.280775171
40	3.268035025
41	3.254890496
42	3.242990196
43	3.230999151
44	3.219801571
45	3.207588764
46	3.195920717
47	3.185124867
48	3.173521261
49	3.162112139
50	3.150822503
51	3.139257137
52	3.128005057
53	3.116872665
54	3.107119917
55	3.095827429
56	3.086203142
57	3.07684981
58	3.066886054
59	3.057930017
60	3.048190251
61	3.039359466
62	3.029775738
63	3.021294166
64	3.012461805
65	3.003909393
66	2.995631963
67	2.986914384
68	2.978732875
69	2.970705977
70	2.961909376
71	2.95447535
72	2.94621315
73	2.939633329
74	2.933123654
75	2.925607988
76	2.917976302
77	2.910186788
78	2.903224028
79	2.897722891
80	2.890681163
81	2.883602349
82	2.877727309
83	2.870518273
84	2.862797083
85	2.856221204
86	2.850086901
87	2.844975379
88	2.838653646
89	2.832551547
90	2.825708321
91	2.819294321
92	2.812932515
93	2.808400087
94	2.803085883
95	2.797382802
96	2.792600324
97	2.78797728
98	2.783201101
99	2.778609743
100	2.772919885
101	2.767758878
102	2.764025053
103	2.759195317
104	2.754495093
105	2.750067904
106	2.746078995
107	2.741944743
108	2.737462706
109	2.731494942
110	2.727293689
111	2.723057628
112	2.719399519
113	2.716003205
114	2.712809109
115	2.708128311
116	2.704391032
117	2.700699276
118	2.695953062
119	2.691521216
120	2.687162694
121	2.682679903
122	2.677587967
123	2.673651775
124	2.668521593
125	2.665780869
126	2.662064097
127	2.65908565
128	2.656028408
129	2.652759124
130	2.6498314
131	2.64721831
132	2.643914987
133	2.641179406
134	2.63636713
135	2.632706743
136	2.631207382
137	2.627580659
138	2.624485976
139	2.621573694
140	2.618592951
141	2.614490101
142	2.610883845
143	2.607681806
144	2.604338872
145	2.601392584
146	2.597679825
147	2.595158689
148	2.591314074
149	2.58886444
150	2.58626669
151	2.582279201
152	2.579398217
153	2.577031364
154	2.575064792
155	2.57257793
156	2.571996526
157	2.568442842
158	2.566224681
159	2.564294821
160	2.56158644
161	2.558416986
162	2.556455264
163	2.555591467
164	2.552975589
165	2.550897712
166	2.550005216
167	2.548287629
168	2.546481583
169	2.54420733
170	2.541076726
171	2.538369162
172	2.535690682
173	2.533150264
174	2.53120179
175	2.529099772
176	2.527740497
177	2.524880348
178	2.521825803
179	2.519173722
180	2.51639622
181	2.514988294
182	2.51300718
183	2.510840569
184	2.508685233
185	2.507394127
186	2.505674448
187	2.504742407
188	2.502414537
189	2.500148624
190	2.498876956
191	2.496059161
192	2.494085643
193	2.493594219
194	2.492527408
195	2.490914696
196	2.488388777
197	2.486084079
198	2.484292592
199	2.4830023
200	2.480294537
201	2.478003705
202	2.476655873
203	2.474985747
204	2.473015869
205	2.471596613
206	2.47068182
207	2.468114115
208	2.466107157
209	2.463735789
210	2.462705589
211	2.45970937
212	2.45722329
213	2.454361497
214	2.452301468
215	2.449493802
216	2.447030648
217	2.445943672
218	2.445048046
219	2.443621489
220	2.442421988
221	2.441229754
222	2.439901768
223	2.436333295
224	2.434789806
225	2.433079841
226	2.430063723
227	2.427932244
228	2.426288258
229	2.424866104
230	2.422605508
231	2.421490268
232	2.41986808
233	2.418639003
234	2.416844306
235	2.414775799
236	2.412956309
237	2.409440268
238	2.407802263
239	2.406394535
240	2.403765116
241	2.401609904
242	2.399480555
243	2.398152151
244	2.396469495
245	2.394521524
246	2.393497322
247	2.391565148
248	2.388924288
249	2.387191102
250	2.385547731
